source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
OR5_111012_EDG_11EDEG011_Ti-IMAC_fr15	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	15	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR5_111012_EDG_11EDEG011_Ti-IMAC_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr20	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	20	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr12	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	12	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr15	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	15	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr9	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	9	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr15	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	15	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111012_EDG_11EDEG011_Ti-IMAC_fr12	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	12	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR5_111012_EDG_11EDEG011_Ti-IMAC_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr18	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	18	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111012_EDG_11EDEG011_Ti-IMAC_fr20	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	20	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR5_111012_EDG_11EDEG011_Ti-IMAC_fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr5	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	5	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR8_130620_13EDEG004_9dreIP_2	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	2	OR8_130620_13EDEG004_9dreIP_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	OR8_130620_13EDEG004_9dreIP_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR8_130620_13EDEG004_9dreIP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr21	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	21	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr22	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	22	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr16	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	16	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr6	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	6	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr8	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	8	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr16	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	16	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr10	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	10	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr11	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	11	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111012_EDG_11EDEG011_Ti-IMAC_fr2	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	2	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR5_111012_EDG_11EDEG011_Ti-IMAC_fr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr19b	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr19b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr19b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr19b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr12	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	12	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr28	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	28	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr10b	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr10b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr10b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr10b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr29	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	29	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr7	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	7	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111012_EDG_11EDEG011_Ti-IMAC_fr7	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	7	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR5_111012_EDG_11EDEG011_Ti-IMAC_fr7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111012_EDG_11EDEG011_Ti-IMAC_fr1	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR5_111012_EDG_11EDEG011_Ti-IMAC_fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
