source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20120524_Renvoise_Triplex_rep2F4	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F4.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F4.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F1	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep1F1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F10	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep1F10.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F10.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F7	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F7.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F7.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F8	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F8.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F8.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F05	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep4F05.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F05.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F5	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F5.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F5.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F10	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep4F10.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F10.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F11	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F11.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F11.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F09	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep3F09.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F09.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F1	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F1.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F03	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep4F03.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F03.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F01	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep3F01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F04	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep4F04.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F04.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F05	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep3F05.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F05.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
