source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[tool metadata]
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_41.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	41	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_41.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_42.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	42	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_42.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_44.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	44	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_44.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_45.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	45	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_45.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_46.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	46	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_46.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_47.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	47	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_47.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_48.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	48	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_48.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_50.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	50	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_50.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_51.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	51	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_51.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_52.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	52	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_52.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_53.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	53	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_53.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_54.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	54	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_54.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_57.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	57	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_57.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_58.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	58	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_58.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_59.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	59	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_59.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_60.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	60	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_60.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_61.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	61	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_61.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_62.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	62	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_62.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_63.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	63	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_63.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_64.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	64	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_64.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_65.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	65	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_65.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_66.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	66	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_66.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_67.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	67	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_67.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_68.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	68	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_68.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
