source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[biological replicate]	material type	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism]
PXD030348-Sample-145	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 306	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04633_tg_2month_Cortex_1.raw	ANAKIN_20160927_MK_EWB_04633_tg_2month_Cortex_1.raw	1	81	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-146	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 307	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04633_tg_2month_Cortex_2.raw	ANAKIN_20160927_MK_EWB_04633_tg_2month_Cortex_2.raw	1	82	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-147	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 308	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04635_tg_2month_Cortex_1.raw	ANAKIN_20160927_MK_EWB_04635_tg_2month_Cortex_1.raw	1	83	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-148	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 309	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04635_tg_2month_Cortex_2.raw	ANAKIN_20160927_MK_EWB_04635_tg_2month_Cortex_2.raw	1	84	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-149	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 310	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04636_tg_2month_Cortex_1.raw	ANAKIN_20160927_MK_EWB_04636_tg_2month_Cortex_1.raw	1	85	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-150	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 311	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04636_tg_2month_Cortex_2_161001144633.raw	ANAKIN_20160927_MK_EWB_04636_tg_2month_Cortex_2_161001144633.raw	1	86	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-151	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 312	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04642_tg_2month_Cortex_1.raw	ANAKIN_20160927_MK_EWB_04642_tg_2month_Cortex_1.raw	1	87	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-152	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 313	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04642_tg_2month_Cortex_2.raw	ANAKIN_20160927_MK_EWB_04642_tg_2month_Cortex_2.raw	1	88	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-153	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 314	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04643_wt_2month_Cortex_1.raw	ANAKIN_20160927_MK_EWB_04643_wt_2month_Cortex_1.raw	1	89	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-154	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 315	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04643_wt_2month_Cortex_2.raw	ANAKIN_20160927_MK_EWB_04643_wt_2month_Cortex_2.raw	1	90	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-155	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 316	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04644_wt_2month_Cortex_1.raw	ANAKIN_20160927_MK_EWB_04644_wt_2month_Cortex_1.raw	1	91	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-156	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 317	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04644_wt_2month_Cortex_2_161003015807.raw	ANAKIN_20160927_MK_EWB_04644_wt_2month_Cortex_2_161003015807.raw	1	92	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-157	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 318	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04661_wt_2month_Cortex_1.raw	ANAKIN_20160927_MK_EWB_04661_wt_2month_Cortex_1.raw	1	93	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-158	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 319	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04661_wt_2month_Cortex_2.raw	ANAKIN_20160927_MK_EWB_04661_wt_2month_Cortex_2.raw	1	94	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-159	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 320	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04692_wt_2month_Cortex_1.raw	ANAKIN_20160927_MK_EWB_04692_wt_2month_Cortex_1.raw	1	95	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-160	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 321	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20160927_MK_EWB_04692_wt_2month_Cortex_2.raw	ANAKIN_20160927_MK_EWB_04692_wt_2month_Cortex_2.raw	1	96	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-161	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 322	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04360_tg_8months_cortex_1.raw	ANAKIN_20161101_MK_EWB_04360_tg_8months_cortex_1.raw	1	97	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-162	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 323	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04360_tg_8months_cortex_2.raw	ANAKIN_20161101_MK_EWB_04360_tg_8months_cortex_2.raw	1	98	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-163	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 324	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04363_wt_8months_cortex_1.raw	ANAKIN_20161101_MK_EWB_04363_wt_8months_cortex_1.raw	1	99	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-164	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 325	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04363_wt_8months_cortex_2.raw	ANAKIN_20161101_MK_EWB_04363_wt_8months_cortex_2.raw	1	100	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-165	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 326	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04376_wt_8months_cortex_1.raw	ANAKIN_20161101_MK_EWB_04376_wt_8months_cortex_1.raw	1	101	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-166	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 327	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04376_wt_8months_cortex_2.raw	ANAKIN_20161101_MK_EWB_04376_wt_8months_cortex_2.raw	1	102	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-167	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 328	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04377_wt_8months_cortex_1_161109213141.raw	ANAKIN_20161101_MK_EWB_04377_wt_8months_cortex_1_161109213141.raw	1	103	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-168	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 329	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04377_wt_8months_cortex_2.raw	ANAKIN_20161101_MK_EWB_04377_wt_8months_cortex_2.raw	1	104	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-169	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 330	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04378_wt_8months_cortex_1.raw	ANAKIN_20161101_MK_EWB_04378_wt_8months_cortex_1.raw	1	105	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-170	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 331	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04378_wt_8months_cortex_2.raw	ANAKIN_20161101_MK_EWB_04378_wt_8months_cortex_2.raw	1	106	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-171	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 332	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04380_tg_8months_cortex_1.raw	ANAKIN_20161101_MK_EWB_04380_tg_8months_cortex_1.raw	1	107	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-172	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 333	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04380_tg_8months_cortex_2.raw	ANAKIN_20161101_MK_EWB_04380_tg_8months_cortex_2.raw	1	108	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
PXD030348-Sample-173	Mus musculus	not applicable	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	1	organism part	not available	run 334	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	ANAKIN_20161101_MK_EWB_04393_tg_8months_cortex_1.raw	ANAKIN_20161101_MK_EWB_04393_tg_8months_cortex_1.raw	1	109	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=HCD;AC=PRIDE:0000590	10 ppm	0.05 Da	Mus musculus
