source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
KS266	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS266	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS266.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS266.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS295_3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	3	KS295_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS295_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS295_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS252	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS252	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS252.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS252.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS314_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS314_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS314_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS314_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS188	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS188	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS188.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS188.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS202	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS202	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS202.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS202.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS308_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS308_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS308_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS308_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS287_3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	3	KS287_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS287_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS287_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS294_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS294_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS294_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS294_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS248	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS248	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS248.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS248.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS306_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS306_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS306_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS306_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS251	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS251	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS251.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS251.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS120_HCD_PML	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS120_HCD_PML	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS120_HCD_PML.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS120_HCD_PML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS086	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS086	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS086.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS086.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS185_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS185_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS185_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS185_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS239	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS239	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS239.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS239.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS305	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS305	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS305.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS305.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS308	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS308	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS308.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS308.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS301_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS301_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS301_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS301_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS228_HCD	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS228_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS228_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS228_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS264	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS264	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS264.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS264.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS294	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS294	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS294.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS294.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS306	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS306	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS306.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS306.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS293	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS293	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS293.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS293.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS313_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS313_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS313_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS313_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS305_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS305_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS305_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS305_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS300	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS300	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS300.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS269	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS269	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS269.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS269.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS294_3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	3	KS294_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS294_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS294_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS217	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS217	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS217.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS217.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS250_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS250_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS250_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS250_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS227_HCD_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS227_HCD_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS227_HCD_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS227_HCD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
