source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[culture medium]	characteristics[passage number]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[genetic modification]	characteristics[genotype]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]	factor value[dose]	factor value[sampling time]	factor value[genotype]
Min6_DrugSet2_HighGlucose_30min_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	4	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_13	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	30 minute	not applicable
Min6_DrugSet2_HighGlucose_30min_R5	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	5	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_14	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	30 minute	not applicable
Min6_DrugSet2_HighGlucose_30min_R6	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	6	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_15	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	30 minute	not applicable
Min6_DrugSet2_HighGlucose_30min_R7	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	7	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_16	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	30 minute	not applicable
Min6_DrugSet2_HighGlucose_30min_SB216763_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	SB216763	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	1	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_25	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	SB216763	16.7 mM	30 minute	not applicable
Min6_DrugSet2_HighGlucose_30min_SB216763_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	SB216763	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	2	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_26	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	SB216763	16.7 mM	30 minute	not applicable
Min6_DrugSet2_HighGlucose_30min_SB216763_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	SB216763	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	3	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_27	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	SB216763	16.7 mM	30 minute	not applicable
Min6_DrugSet2_HighGlucose_30min_SB216763_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	SB216763	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	4	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_28	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	SB216763	16.7 mM	30 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_8BrcAMP_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-Br-cAMP	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	1	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_41	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-Br-cAMP	2.5 mM	10 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_8BrcAMP_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-Br-cAMP	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	2	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_42	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-Br-cAMP	2.5 mM	10 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_8BrcAMP_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-Br-cAMP	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	3	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_43	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-Br-cAMP	2.5 mM	10 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_8BrcAMP_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	8-Br-cAMP	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	4	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_44	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	8-Br-cAMP	2.5 mM	10 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_GLP1_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Glucagon-Like Peptide 1	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	1	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_29	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Glucagon-Like Peptide 1	2.5 mM	10 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_GLP1_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Glucagon-Like Peptide 1	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	2	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_30	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Glucagon-Like Peptide 1	2.5 mM	10 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_GLP1_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Glucagon-Like Peptide 1	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	3	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_31	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Glucagon-Like Peptide 1	2.5 mM	10 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_GLP1_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	Glucagon-Like Peptide 1	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	4	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_32	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	Glucagon-Like Peptide 1	2.5 mM	10 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	4	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_05	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	2.5 mM	10 minute	not applicable
Min6_DrugSet2_LowGlucose_10min_R5	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	2.5 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	5	run_20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_06	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	300m/z-1650m/z	not applicable	not available	not available	phosphoproteome-drug-set-2	1	1	20140718_QEp6_FrSa_lc4_02_SA_min6_CMP2_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	2.5 mM	10 minute	not applicable
