source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
121129_OV3_P2_KG_SY_CID_TiO_ptpBTryBio1_13a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121129_OV3_P2_KG_SY_CID_TiO_ptpBTryBio1_13a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121129_OV3_P2_KG_SY_CID_TiO_ptpBTryBio1_13a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121129_OV3_P2_KG_SY_CID_TiO_ptpBTryBio1_13a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121129_OV3_P2_KG_SY_ptpBTryBio1_collected_14	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	14	121129_OV3_P2_KG_SY_ptpBTryBio1_collected_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121129_OV3_P2_KG_SY_ptpBTryBio1_collected_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121129_OV3_P2_KG_SY_ptpBTryBio1_collected_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120914_OV3_P5_KG_SY_ptpBTryBio3_collected_05	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	5	120914_OV3_P5_KG_SY_ptpBTryBio3_collected_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	120914_OV3_P5_KG_SY_ptpBTryBio3_collected_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/120914_OV3_P5_KG_SY_ptpBTryBio3_collected_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121126_OV3_P2_KG_SY_HCD_TiO_ptpBTry_Bio2_4a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTry_Bio2_4a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTry_Bio2_4a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121126_OV3_P2_KG_SY_HCD_TiO_ptpBTry_Bio2_4a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130209_OV2_P6_CH_SY_CID_TiO_WTBio4_4b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_4b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_4b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130209_OV2_P6_CH_SY_CID_TiO_WTBio4_4b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130209_OV2_P6_CH_SY_WTBio4_collected_06	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	6	130209_OV2_P6_CH_SY_WTBio4_collected_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130209_OV2_P6_CH_SY_WTBio4_collected_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130209_OV2_P6_CH_SY_WTBio4_collected_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130310_OV2_P6_CH_SY_ptpBTryBio4_collected_06	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	6	130310_OV2_P6_CH_SY_ptpBTryBio4_collected_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130310_OV2_P6_CH_SY_ptpBTryBio4_collected_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130310_OV2_P6_CH_SY_ptpBTryBio4_collected_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130308_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_7b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130308_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_7b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130308_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_7b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130308_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_7b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121129_OV3_P2_KG_SY_ptpBTryBio1_collected_02	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	2	121129_OV3_P2_KG_SY_ptpBTryBio1_collected_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121129_OV3_P2_KG_SY_ptpBTryBio1_collected_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121129_OV3_P2_KG_SY_ptpBTryBio1_collected_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130212_OV2_P6_CH_SY_CID_TiO_WTBio3_6c	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130212_OV2_P6_CH_SY_CID_TiO_WTBio3_6c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130212_OV2_P6_CH_SY_CID_TiO_WTBio3_6c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130212_OV2_P6_CH_SY_CID_TiO_WTBio3_6c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121129_OV3_P2_KG_SY_ptpBTryBio1_collected_20	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	20	121129_OV3_P2_KG_SY_ptpBTryBio1_collected_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121129_OV3_P2_KG_SY_ptpBTryBio1_collected_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121129_OV3_P2_KG_SY_ptpBTryBio1_collected_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130204_OV2_P6_CH_SY_HCD_TiO_WTBio3_5b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130204_OV2_P6_CH_SY_HCD_TiO_WTBio3_5b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130204_OV2_P6_CH_SY_HCD_TiO_WTBio3_5b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130204_OV2_P6_CH_SY_HCD_TiO_WTBio3_5b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121205_OV3_P2_KG_SY_HCD_TiO_WT2_10a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121205_OV3_P2_KG_SY_HCD_TiO_WT2_10a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121205_OV3_P2_KG_SY_HCD_TiO_WT2_10a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121205_OV3_P2_KG_SY_HCD_TiO_WT2_10a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130410_OV2_P6_CH_SY_CID_TiO_WTBio3_7a2	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130410_OV2_P6_CH_SY_CID_TiO_WTBio3_7a2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130410_OV2_P6_CH_SY_CID_TiO_WTBio3_7a2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130410_OV2_P6_CH_SY_CID_TiO_WTBio3_7a2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121205_OV3_P2_KG_SY_WTBio2_collected_13	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	13	121205_OV3_P2_KG_SY_WTBio2_collected_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121205_OV3_P2_KG_SY_WTBio2_collected_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121205_OV3_P2_KG_SY_WTBio2_collected_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130309_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_1112a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130309_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_1112a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130309_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_1112a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130309_OV2_P6_CH_SY_CID_TiO_ptpBTryBio4_1112a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_6a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_6a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_6a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_6a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121205_OV3_P2_KG_SY_CID_TiO_WT2_22a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121205_OV3_P2_KG_SY_CID_TiO_WT2_22a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121205_OV3_P2_KG_SY_CID_TiO_WT2_22a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121205_OV3_P2_KG_SY_CID_TiO_WT2_22a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_9a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_9a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_9a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_9a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120914_OV3_P5_KG_SY_ptpBTryBio3_collected_01	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	120914_OV3_P5_KG_SY_ptpBTryBio3_collected_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	120914_OV3_P5_KG_SY_ptpBTryBio3_collected_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/120914_OV3_P5_KG_SY_ptpBTryBio3_collected_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120914_OV3_P5_KG_SY_CID_TiO_ptpBTryBio3_9b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	120914_OV3_P5_KG_SY_CID_TiO_ptpBTryBio3_9b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	120914_OV3_P5_KG_SY_CID_TiO_ptpBTryBio3_9b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/120914_OV3_P5_KG_SY_CID_TiO_ptpBTryBio3_9b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130204_OV2_P6_CH_SY_WTBio4_collected_20	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	20	130204_OV2_P6_CH_SY_WTBio4_collected_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130204_OV2_P6_CH_SY_WTBio4_collected_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130204_OV2_P6_CH_SY_WTBio4_collected_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
