source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[compound]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]
exp1_speclib_frac11	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-11of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	11	J_D191120_S618-Exp01-SpecLib-11of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac12	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-12of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	12	J_D191120_S618-Exp01-SpecLib-12of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac13	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-13of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	13	J_D191120_S618-Exp01-SpecLib-13of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac14	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-14of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	14	J_D191120_S618-Exp01-SpecLib-14of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac15	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-15of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	15	J_D191120_S618-Exp01-SpecLib-15of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac1	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-1of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D191120_S618-Exp01-SpecLib-1of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac2	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-2of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	2	J_D191120_S618-Exp01-SpecLib-2of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac3	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-3of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	3	J_D191120_S618-Exp01-SpecLib-3of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac4	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-4of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	4	J_D191120_S618-Exp01-SpecLib-4of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac5	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-5of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	5	J_D191120_S618-Exp01-SpecLib-5of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac6	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-6of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	6	J_D191120_S618-Exp01-SpecLib-6of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac7	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-7of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	7	J_D191120_S618-Exp01-SpecLib-7of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac8	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-8of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	8	J_D191120_S618-Exp01-SpecLib-8of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp1_speclib_frac9	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-9of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	9	J_D191120_S618-Exp01-SpecLib-9of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
