source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
QE0198_Corinne100414_HILICIMAC_F2	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0198_Corinne100414_HILICIMAC_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	2	1	QE0198_Corinne100414_HILICIMAC_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0198_Corinne100414_HILICIMAC_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_A_6_140530202528	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_A_6_140530202528	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_A_6_140530202528.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_A_6_140530202528.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_B_7_140601010031	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_B_7_140601010031	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_B_7_140601010031.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_B_7_140601010031.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_1a_140730001146	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_1a_140730001146	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_1a_140730001146.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_1a_140730001146.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_A_2	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	2	QE0218_CLochmatter_210514_140521CL_A_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_A_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0198_Corinne100414_HILICIMAC_F10	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0198_Corinne100414_HILICIMAC_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	10	1	QE0198_Corinne100414_HILICIMAC_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0198_Corinne100414_HILICIMAC_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0198_Corinne100414_HILICIMAC_F8	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0198_Corinne100414_HILICIMAC_F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	8	1	QE0198_Corinne100414_HILICIMAC_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0198_Corinne100414_HILICIMAC_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_B_8_140601040934	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_B_8_140601040934	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_B_8_140601040934.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_B_8_140601040934.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_A_5_140529103521	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_A_5_140529103521	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_A_5_140529103521.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_A_5_140529103521.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_4a_140730214927	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_4a_140730214927	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_4a_140730214927.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_4a_140730214927.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0226_CL_300514_TIOX_A	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0226_CL_300514_TIOX_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0226_CL_300514_TIOX_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0226_CL_300514_TIOX_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_B_5_140531184150	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_B_5_140531184150	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_B_5_140531184150.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_B_5_140531184150.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_B_9_140601071849	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_B_9_140601071849	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_B_9_140601071849.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_B_9_140601071849.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_A_8	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	8	QE0218_CLochmatter_210514_140521CL_A_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_A_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_A_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0198_Corinne100414_HILICIMAC_F9	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0198_Corinne100414_HILICIMAC_F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	9	1	QE0198_Corinne100414_HILICIMAC_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0198_Corinne100414_HILICIMAC_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0198_Corinne100414_HILICIMAC_F6	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0198_Corinne100414_HILICIMAC_F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	6	1	QE0198_Corinne100414_HILICIMAC_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0198_Corinne100414_HILICIMAC_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_3a_140730143658	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_3a_140730143658	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_3a_140730143658.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_3a_140730143658.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_7a_140731192525	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_7a_140731192525	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_7a_140731192525.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_7a_140731192525.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_B_10_140601102812	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_B_10_140601102812	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_B_10_140601102812.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_B_10_140601102812.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_3b_140730174612	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_3b_140730174612	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_3b_140730174612.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_3b_140730174612.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_2a_140730072403	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_2a_140730072403	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_2a_140730072403.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_2a_140730072403.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0198_Corinne100414_HILICIMAC_F7	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0198_Corinne100414_HILICIMAC_F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	7	1	QE0198_Corinne100414_HILICIMAC_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0198_Corinne100414_HILICIMAC_F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
