source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
aleitner_C1409_072	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_072	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_072.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_072.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_071	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_071	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_071.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_071.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_059	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_059	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_059.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_059.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_073	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_073	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_073.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_073.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_082	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_082	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_082.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_082.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_081	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_081	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_081.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_081.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_099	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_099	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_099.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_099.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_075	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_075	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_075.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_075.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_105	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_105	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_105.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_105.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_041	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_041	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_041.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_041.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_088	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_088	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_088.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_088.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_065	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_065	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_065.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_065.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_079	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_079	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_079.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_079.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_103	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_103	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_103.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_103.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_053	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_053	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_053.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_053.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_066	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_066	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_066.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_066.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_078	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_078	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_078.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_078.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_087	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_087	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_087.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_087.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_083	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_083	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_083.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_083.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_107	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_107	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_107.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_107.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_095	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_095	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_095.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_095.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_037	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_037	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_037.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_037.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_045	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_045	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_045.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_045.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_096	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_096	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_096.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_096.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_111	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_111	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_111.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_111.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_058	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_058	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_058.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_058.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_048	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_048	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_048.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_048.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_113	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_113	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_113.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_113.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_067	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_067	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_067.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_067.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_076	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_076	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_076.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_076.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_098	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_098	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_098.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_098.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_039	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_039	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_039.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_039.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
