source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[ion exchange method]	comment[precursor mass tolerance]	comment[salt step]	comment[technical replicate]	comment[data file]	factor value[cell type]
PXD026127-Sample 32	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 32	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000655	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F5_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	LCA_08222018_CD3_200_F5_CID_02.raw	cd4
PXD026127-Sample 33	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 33	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000656	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F6_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	LCA_08222018_CD3_200_F6_CID_01.raw	cd4
PXD026127-Sample 34	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 34	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000657	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F6_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	LCA_08222018_CD3_200_F6_CID_02.raw	cd4
PXD026127-Sample 35	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 35	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000658	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F7_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	LCA_08222018_CD3_200_F7_CID_01.raw	cd4
PXD026127-Sample 36	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 36	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000659	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F7_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	LCA_08222018_CD3_200_F7_CID_02.raw	cd4
PXD026127-Sample 37	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 37	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000660	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F8_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	LCA_08222018_CD3_200_F8_CID_01.raw	cd4
PXD026127-Sample 38	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 38	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000661	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F8_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	LCA_08222018_CD3_200_F8_CID_02.raw	cd4
PXD026127-Sample 39	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 39	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F1_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	1	LCA_08232018_CD3_500_F1_CID_01.raw	cd4
PXD026127-Sample 40	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 40	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000663	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F1_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	2	LCA_08232018_CD3_500_F1_CID_02.raw	cd4
PXD026127-Sample 41	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 41	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000664	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F2_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	1	LCA_08232018_CD3_500_F2_CID_01.raw	cd4
PXD026127-Sample 42	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 42	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000665	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F2_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	2	LCA_08232018_CD3_500_F2_CID_02.raw	cd4
PXD026127-Sample 43	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 43	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000666	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F3_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	1	LCA_08232018_CD3_500_F3_CID_01.raw	cd4
PXD026127-Sample 44	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 44	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000667	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F3_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	2	LCA_08232018_CD3_500_F3_CID_02.raw	cd4
PXD026127-Sample 45	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 45	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000668	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F4_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	1	LCA_08232018_CD3_500_F4_CID_01.raw	cd4
PXD026127-Sample 46	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 46	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000669	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_500_F4_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	2	LCA_08232018_CD3_500_F4_CID_02.raw	cd4
PXD026127-Sample 47	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 47	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	9	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000670	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_pool_FT_200_F9_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	LCA_08232018_CD3_pool_FT_200_F9_01.raw	cd4
PXD026127-Sample 48	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 48	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	9	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000671	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08232018_CD3_pool_FT_200_F9_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	LCA_08232018_CD3_pool_FT_200_F9_02.raw	cd4
PXD026127-Sample 49	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 49	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000672	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F5_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	1	LCA_08242018_CD3_500_F5_CID_01.raw	cd4
PXD026127-Sample 50	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 50	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000673	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F5_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	2	LCA_08242018_CD3_500_F5_CID_02.raw	cd4
PXD026127-Sample 51	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 51	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000674	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F6_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	1	LCA_08242018_CD3_500_F6_CID_01.raw	cd4
PXD026127-Sample 52	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 52	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000675	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F6_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	2	LCA_08242018_CD3_500_F6_CID_02.raw	cd4
PXD026127-Sample 53	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 53	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000676	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F7_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	1	LCA_08242018_CD3_500_F7_CID_01.raw	cd4
PXD026127-Sample 54	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 54	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000677	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F7_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	2	LCA_08242018_CD3_500_F7_CID_02.raw	cd4
PXD026127-Sample 55	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 55	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000678	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F8_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	1	LCA_08242018_CD3_500_F8_CID_01.raw	cd4
PXD026127-Sample 56	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 56	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000679	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_500_F8_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	2	LCA_08242018_CD3_500_F8_CID_02.raw	cd4
PXD026127-Sample 57	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 57	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	9	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000680	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_pool_500_1M_F9_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	1	LCA_08242018_CD3_pool_500_1M_F9_CID_01.raw	cd4
PXD026127-Sample 58	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	3	peripheral blood	not available	3	run 58	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	9	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000681	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08242018_CD3_pool_500_1M_F9_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	2	LCA_08242018_CD3_pool_500_1M_F9_CID_02.raw	cd4
PXD026127-Sample 59	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 59	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000682	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F1_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	1	LCA_08252018_CD3_1M_F1_CID_01.raw	cd4
PXD026127-Sample 60	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 60	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000683	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F1_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	2	LCA_08252018_CD3_1M_F1_CID_02.raw	cd4
PXD026127-Sample 61	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 61	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000684	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F2_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	1	LCA_08252018_CD3_1M_F2_CID_01.raw	cd4
PXD026127-Sample 62	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 62	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000685	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F2_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	2	LCA_08252018_CD3_1M_F2_CID_02.raw	cd4
PXD026127-Sample 63	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 63	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000686	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F3_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	1	LCA_08252018_CD3_1M_F3_CID_01.raw	cd4
