source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20150313_Orbi6_MaSt_SA_Rab1_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20150313_Orbi6_MaSt_SA_Rab1_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_Orbi6_MaSt_SA_Rab1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_Orbi6_MaSt_SA_Rab1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wtHG_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wtHG_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wtHG_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wtHG_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150602_QEp6_MaSt_SA_Brain_G2019S_vehicle7_ph8	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150602_QEp6_MaSt_SA_Brain_G2019S_vehicle7_ph8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150602_QEp6_MaSt_SA_Brain_G2019S_vehicle7_ph8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150602_QEp6_MaSt_SA_Brain_G2019S_vehicle7_ph8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150602_QEp6_MaSt_SA_Brain_G2019S_MLI-23_ph6	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150602_QEp6_MaSt_SA_Brain_G2019S_MLI-23_ph6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150602_QEp6_MaSt_SA_Brain_G2019S_MLI-23_ph6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150602_QEp6_MaSt_SA_Brain_G2019S_MLI-23_ph6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20141125_QEp6_MaSt_SA_Rab10-IP_GSK_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20141125_QEp6_MaSt_SA_Rab10-IP_GSK_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20141125_QEp6_MaSt_SA_Rab10-IP_GSK_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20141125_QEp6_MaSt_SA_Rab10-IP_GSK_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150113_QEp6_MaSt_SA_Rab8-IP_DMSO_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20150113_QEp6_MaSt_SA_Rab8-IP_DMSO_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150113_QEp6_MaSt_SA_Rab8-IP_DMSO_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150113_QEp6_MaSt_SA_Rab8-IP_DMSO_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GSHG_IP-GFP_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GSHG_IP-GFP_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GSHG_IP-GFP_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GSHG_IP-GFP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20140224_EXQ3_MaSt_SA_MEFs_GSK_Phospho_3_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20140224_EXQ3_MaSt_SA_MEFs_GSK_Phospho_3_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20140224_EXQ3_MaSt_SA_MEFs_GSK_Phospho_3_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20140224_EXQ3_MaSt_SA_MEFs_GSK_Phospho_3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150707_QEp6_MaSt_SA_BrainLilly_G2019S_MLI2_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20150707_QEp6_MaSt_SA_BrainLilly_G2019S_MLI2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150707_QEp6_MaSt_SA_BrainLilly_G2019S_MLI2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150707_QEp6_MaSt_SA_BrainLilly_G2019S_MLI2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150313_Orbi6_MaSt_SA_Rab1LRRKHG_150_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150313_Orbi6_MaSt_SA_Rab1LRRKHG_150_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_Orbi6_MaSt_SA_Rab1LRRKHG_150_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_Orbi6_MaSt_SA_Rab1LRRKHG_150_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151117_Qep3_MaSt_SA_293T_GFP-Rab1a_IP-GFP_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20151117_Qep3_MaSt_SA_293T_GFP-Rab1a_IP-GFP_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151117_Qep3_MaSt_SA_293T_GFP-Rab1a_IP-GFP_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151117_Qep3_MaSt_SA_293T_GFP-Rab1a_IP-GFP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150313_EXQ00_MaSt_SA_MEFs_G2019SHG_IP-Rab10_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20150313_EXQ00_MaSt_SA_MEFs_G2019SHG_IP-Rab10_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_EXQ00_MaSt_SA_MEFs_G2019SHG_IP-Rab10_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_EXQ00_MaSt_SA_MEFs_G2019SHG_IP-Rab10_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wtHG_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wtHG_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wtHG_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wtHG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151117_Qep3_MaSt_SA_293T_GFP-Rab1aflag-LRRK2_GSHG_IP-GFP_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20151117_Qep3_MaSt_SA_293T_GFP-Rab1aflag-LRRK2_GSHG_IP-GFP_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151117_Qep3_MaSt_SA_293T_GFP-Rab1aflag-LRRK2_GSHG_IP-GFP_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151117_Qep3_MaSt_SA_293T_GFP-Rab1aflag-LRRK2_GSHG_IP-GFP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20140820_QEp4_MaSt_SA_MEFs_A2016TMLI2_P_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wt_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wt_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wt_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_wt_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150218_QEp4_MaSt_SA_InVitroKinase_ISCLRRK2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150218_QEp4_MaSt_SA_InVitroKinase_ISCLRRK2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150218_QEp4_MaSt_SA_InVitroKinase_ISCLRRK2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150218_QEp4_MaSt_SA_InVitroKinase_ISCLRRK2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151117_Qep3_MaSt_SA_293T_GFP-Rab1aflag-LRRK2_GS_IP-GFP_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20151117_Qep3_MaSt_SA_293T_GFP-Rab1aflag-LRRK2_GS_IP-GFP_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151117_Qep3_MaSt_SA_293T_GFP-Rab1aflag-LRRK2_GS_IP-GFP_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151117_Qep3_MaSt_SA_293T_GFP-Rab1aflag-LRRK2_GS_IP-GFP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20140224_EXQ3_MaSt_SA_MEFs_HG_Phospho_2_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20140224_EXQ3_MaSt_SA_MEFs_HG_Phospho_2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20140224_EXQ3_MaSt_SA_MEFs_HG_Phospho_2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20140224_EXQ3_MaSt_SA_MEFs_HG_Phospho_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
