source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
SaciWTPacific1000-1020_RE4_01_1711.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific1000-1020_RE4_01_1711.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific1000-1020_RE4_01_1711.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific1000-1020_RE4_01_1711.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific1360-1380_RE3_01_1737.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific1360-1380_RE3_01_1737.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific1360-1380_RE3_01_1737.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific1360-1380_RE3_01_1737.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific421-441_GD2_01_1904.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific421-441_GD2_01_1904.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific421-441_GD2_01_1904.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific421-441_GD2_01_1904.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_500-509_17Dec11_BA1_01_3895.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_500-509_17Dec11_BA1_01_3895.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_500-509_17Dec11_BA1_01_3895.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_500-509_17Dec11_BA1_01_3895.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-890-899_RD6_01_2982.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-890-899_RD6_01_2982.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-890-899_RD6_01_2982.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-890-899_RD6_01_2982.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-820-829_RD5_01_2974.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-820-829_RD5_01_2974.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-820-829_RD5_01_2974.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-820-829_RD5_01_2974.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific661-681_GD1_01_1867.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific661-681_GD1_01_1867.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific661-681_GD1_01_1867.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific661-681_GD1_01_1867.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-950-959_RD6_01_2989.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-950-959_RD6_01_2989.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-950-959_RD6_01_2989.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-950-959_RD6_01_2989.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific1580-1600_RE3_01_1749.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific1580-1600_RE3_01_1749.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific1580-1600_RE3_01_1749.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific1580-1600_RE3_01_1749.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_540-549_17Dec11_BA1_01_3899.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_540-549_17Dec11_BA1_01_3899.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_540-549_17Dec11_BA1_01_3899.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_540-549_17Dec11_BA1_01_3899.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-530-539_RD4_01_2940.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-530-539_RD4_01_2940.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-530-539_RD4_01_2940.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-530-539_RD4_01_2940.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific1420-1440_RE3_01_1739.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific1420-1440_RE3_01_1739.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific1420-1440_RE3_01_1739.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific1420-1440_RE3_01_1739.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_620-629_17Dec11_BA1_01_3909.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_620-629_17Dec11_BA1_01_3909.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_620-629_17Dec11_BA1_01_3909.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_620-629_17Dec11_BA1_01_3909.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific601-621_GD1_01_1862.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific601-621_GD1_01_1862.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific601-621_GD1_01_1862.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific601-621_GD1_01_1862.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific760-780_RE6_01_1697.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific760-780_RE6_01_1697.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific760-780_RE6_01_1697.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific760-780_RE6_01_1697.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_780-789_17Dec11_BA2_01_3927.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_780-789_17Dec11_BA2_01_3927.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_780-789_17Dec11_BA2_01_3927.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_780-789_17Dec11_BA2_01_3927.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_710-719_17Dec11_BA1_01_3919.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_710-719_17Dec11_BA1_01_3919.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_710-719_17Dec11_BA1_01_3919.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_710-719_17Dec11_BA1_01_3919.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_760-769_17Dec11_BA2_01_3925.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_760-769_17Dec11_BA2_01_3925.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_760-769_17Dec11_BA2_01_3925.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_760-769_17Dec11_BA2_01_3925.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific1041-1061_GD2_01_1891.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific1041-1061_GD2_01_1891.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific1041-1061_GD2_01_1891.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific1041-1061_GD2_01_1891.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific1220-1240_RE5_01_1728.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific1220-1240_RE5_01_1728.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific1220-1240_RE5_01_1728.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific1220-1240_RE5_01_1728.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-680-689_RD5_01_2957.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-680-689_RD5_01_2957.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-680-689_RD5_01_2957.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-680-689_RD5_01_2957.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific740-760_RE6_01_1696.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific740-760_RE6_01_1696.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific740-760_RE6_01_1696.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific740-760_RE6_01_1696.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-500-509_RD4_01_2937.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-500-509_RD4_01_2937.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-500-509_RD4_01_2937.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-500-509_RD4_01_2937.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_530-539_17Dec11_BA1_01_3898.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_530-539_17Dec11_BA1_01_3898.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_530-539_17Dec11_BA1_01_3898.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_530-539_17Dec11_BA1_01_3898.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_550-559_17Dec11_BA1_01_3900.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_550-559_17Dec11_BA1_01_3900.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_550-559_17Dec11_BA1_01_3900.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_550-559_17Dec11_BA1_01_3900.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
