source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PrfAgelL18ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL18ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL18ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL18ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHIrepli03	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHIrepli03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHIrepli03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHIrepli03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHI07ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHI07ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHI07ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHI07ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfaK03	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfaK03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfaK03.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfaK03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHIrepli06ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHIrepli06ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHIrepli06ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHIrepli06ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHIrepli08	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHIrepli08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHIrepli08.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHIrepli08.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelL18	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL18.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelK12	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelK12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelK12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelK12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelL12	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelK06	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelK06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelK06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelK06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
