source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[sample composition]	characteristics[sampling date]	characteristics[sperm count]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[file uri]	comment[tool metadata]	factor value[organism part]
Z_B2_R2_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	2	not available	9 x 2-cell; 0 x 3-cell; 2 x 4-cell	26/10/2023	not applicable	run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04751_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_8_S1-A8_1_5289.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B1_R2_2	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	2	not available	7 x 2-cell; 1 x 3-cell; 2 x 4-cell	26/10/2023	not applicable	run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04752_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_7_S1-A7_1_5290.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B2_R3_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	3	not available	5 x 2-cell; 2 x 3-cell; 4 x 4-cell	29/10/2023	not applicable	run 12	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04753_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_12_S1-A12_1_5291.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B1_R2_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	2	not available	7 x 2-cell; 1 x 3-cell; 2 x 4-cell	26/10/2023	not applicable	run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04754_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_6_S1-A6_1_5292.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B1_R3_2	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	3	not available	3 x 2-cell; 4 x 3-cell; 2 x 4-cell	29/10/2023	not applicable	run 15	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04755_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_15_S1-B3_1_5293.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B1_R1_2	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	1	not available	7 x 2-cell; 3 x 3-cell; 0 x 4-cell	22/10/2023	not applicable	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04756_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_2_S1-A2_1_5294.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
B_B2_R2_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	2	not available	blastocyst	01/11/2023	not applicable	run 30	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04757_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_30_S1-C6_1_5296.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B2_R3_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	3	not available	blastocyst	04/11/2023	not applicable	run 41	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04758_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_41_S1-D5_1_5297.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B2_R3_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	3	not available	blastocyst	04/11/2023	not applicable	run 40	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04759_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_40_S1-D4_1_5298.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B3_R3_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	3	not available	blastocyst	04/11/2023	not applicable	run 43	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04760_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_43_S1-D7_1_5299.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R4_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	4	not available	blastocyst	08/11/2023	not applicable	run 50	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04764_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_50_S1-E2_1_5303.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R4_3	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	4	not available	blastocyst	08/11/2023	not applicable	run 52	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	3	T04765_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_52_S1-E4_1_5304.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R3_4	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	3	not available	blastocyst	04/11/2023	not applicable	run 49	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	4	T04766_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_49_S1-E1_1_5305.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B4_R2_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	2	not available	blastocyst	01/11/2023	not applicable	run 34	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04767_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_34_S1-C10_1_5306.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R3_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	3	not available	blastocyst	04/11/2023	not applicable	run 46	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04768_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_46_S1-D10_1_5307.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B2_R1_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	1	not available	blastocyst	28/10/2023	not applicable	run 27	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04769_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_27_S1-C3_1_5308.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B2_R1_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	1	not available	blastocyst	28/10/2023	not applicable	run 28	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04772_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_28_S1-C4_1_5311.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B4_R3_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	3	not available	blastocyst	04/11/2023	not applicable	run 45	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04773_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_45_S1-D9_1_5312.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B4_R4_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	4	not available	blastocyst	08/11/2023	not applicable	run 55	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04774_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_55_S1-E7_1_5313.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B4_R1_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	1	not available	blastocyst	28/10/2023	not applicable	run 25	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04775_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_25_S1-C1_1_5314.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R1_4	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	1	not available	blastocyst	28/10/2023	not applicable	run 24	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	4	T04777_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_24_S1-B12_1_5316.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B4_R1_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	1	not available	blastocyst	28/10/2023	not applicable	run 26	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04778_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_26_S1-C2_1_5317.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B4_R3_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	3	not available	blastocyst	04/11/2023	not applicable	run 44	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04779_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_44_S1-D8_1_5318.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R4_4	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	4	not available	blastocyst	08/11/2023	not applicable	run 53	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	4	T04780_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_53_S1-E5_1_5319.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R1_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	1	not available	blastocyst	28/10/2023	not applicable	run 22	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04781_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_22_S1-B10_1_5320.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B3_R4_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	4	not available	blastocyst	08/11/2023	not applicable	run 56	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04782_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_56_S1-E8_1_5321.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R2_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	2	not available	blastocyst	01/11/2023	not applicable	run 37	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04783_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_37_S1-D1_1_5322.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B2_R4_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	4	not available	blastocyst	08/11/2023	not applicable	run 58	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04784_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_58_S1-E10_1_5323.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B3_R2_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	2	not available	blastocyst	01/11/2023	not applicable	run 33	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04785_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_33_S1-C9_1_5324.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B3_R1_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	1	not available	blastocyst	28/10/2023	not applicable	run 29	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04786_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_29_S1-C5_1_5325.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B3_R4_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	4	not available	blastocyst	08/11/2023	not applicable	run 57	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04787_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_57_S1-E9_1_5326.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B4_R4_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	4	not available	blastocyst	08/11/2023	not applicable	run 54	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04788_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_54_S1-E6_1_5327.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R1_3	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	1	not available	blastocyst	28/10/2023	not applicable	run 23	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	3	T04792_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_23_S1-B11_1_5331.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B3_R3_1	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	3	not available	blastocyst	04/11/2023	not applicable	run 42	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04793_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_42_S1-D6_1_5332.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B2_R4_2	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	4	not available	blastocyst	08/11/2023	not applicable	run 59	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04794_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_59_S1-E11_1_5333.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
B_B1_R2_4	Bos taurus	Embryo	mixed	not applicable	not applicable	blastocyst	not available	not available	whole blastocyst	2	not available	blastocyst	01/11/2023	not applicable	run 39	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	4	T04795_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_bl_39_S1-D3_1_5334.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	whole blastocyst
