source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[diet duration]	characteristics[diet]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[diet duration]	factor value[treatment]
mouse_26	Mus musculus	blood plasma	not applicable	4	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_26	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GIP receptor agonist
mouse_27	Mus musculus	blood plasma	not applicable	5	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_27	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Drug Vehicle
mouse_28	Mus musculus	blood plasma	not applicable	6	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_28	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Drug Vehicle
mouse_29	Mus musculus	blood plasma	not applicable	5	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_29	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GIP receptor agonist
mouse_30	Mus musculus	blood plasma	not applicable	6	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_30	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GIP receptor agonist
mouse_31	Mus musculus	blood plasma	not applicable	1	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_31	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_32	Mus musculus	blood plasma	not applicable	2	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_32	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_33	Mus musculus	blood plasma	not applicable	3	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_33	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_34	Mus musculus	blood plasma	not applicable	4	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_34	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_35	Mus musculus	blood plasma	not applicable	1	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_35	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_36	Mus musculus	blood plasma	not applicable	2	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_36	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_37	Mus musculus	blood plasma	not applicable	3	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_37	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_38	Mus musculus	blood plasma	not applicable	4	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_38	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_39	Mus musculus	blood plasma	not applicable	1	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_39	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_40	Mus musculus	blood plasma	not applicable	2	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_40	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_41	Mus musculus	blood plasma	not applicable	1	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_41	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_42	Mus musculus	blood plasma	not applicable	2	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_42	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_43	Mus musculus	blood plasma	not applicable	5	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_43	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_44	Mus musculus	blood plasma	not applicable	6	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_44	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_45	Mus musculus	blood plasma	not applicable	3	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_45	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_46	Mus musculus	blood plasma	not applicable	4	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_46	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_47	Mus musculus	blood plasma	not applicable	5	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_47	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_48	Mus musculus	blood plasma	not applicable	6	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_48	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
