source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[sampling site]	characteristics[individual]	characteristics[compound]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[compound]	factor value[sampling time]	factor value[enrichment process]
HCT-15-C-1h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	dimethyl sulfoxide	1 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_HCT_C_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_HCT_C_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	dimethyl sulfoxide	1 hour	enrichment of phosphorylated protein
HCT-15-C-24h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	dimethyl sulfoxide	24 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_HCT_C_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_HCT_C_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	dimethyl sulfoxide	24 hour	enrichment of phosphorylated protein
HCT-15-C-5min-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	dimethyl sulfoxide	5 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_HCT_C_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_HCT_C_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	dimethyl sulfoxide	5 minute	enrichment of phosphorylated protein
HCT-15-C-6h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	dimethyl sulfoxide	6 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_HCT_C_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_HCT_C_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	dimethyl sulfoxide	6 hour	enrichment of phosphorylated protein
HCT-15-WI-15min-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	WIKI4	15 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_HCT_WI_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_HCT_WI_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	WIKI4	15 minute	enrichment of phosphorylated protein
HCT-15-WI-1h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	WIKI4	1 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_HCT_WI_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_HCT_WI_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	WIKI4	1 hour	enrichment of phosphorylated protein
HCT-15-WI-24h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	WIKI4	24 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_HCT_WI_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_HCT_WI_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	WIKI4	24 hour	enrichment of phosphorylated protein
HCT-15-WI-5min-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	WIKI4	5 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_HCT_WI_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_HCT_WI_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	WIKI4	5 minute	enrichment of phosphorylated protein
HCT-15-WI-6h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	WIKI4	6 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_HCT_WI_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_HCT_WI_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	WIKI4	6 hour	enrichment of phosphorylated protein
HCT-15-AL-48h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	alpelisib	48 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_AL_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_AL_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	alpelisib	48 hour	enrichment of phosphorylated protein
HCT-15-AL-96h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	alpelisib	96 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_AL_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_AL_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	alpelisib	96 hour	enrichment of phosphorylated protein
HCT-15-C-48h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	dimethyl sulfoxide	48 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_C_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_C_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	dimethyl sulfoxide	48 hour	enrichment of phosphorylated protein
HCT-15-C-96h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	dimethyl sulfoxide	96 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_C_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_C_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	dimethyl sulfoxide	96 hour	enrichment of phosphorylated protein
HCT-15-IM-48h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	imatinib	48 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_IM_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_IM_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	imatinib	48 hour	enrichment of phosphorylated protein
HCT-15-IM-96h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	imatinib	96 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_IM_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_IM_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	imatinib	96 hour	enrichment of phosphorylated protein
HCT-15-LI-48h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	linsitinib	48 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_LI_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_LI_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	linsitinib	48 hour	enrichment of phosphorylated protein
HCT-15-LI-96h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	linsitinib	96 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_LI_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_LI_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	linsitinib	96 hour	enrichment of phosphorylated protein
HCT-15-OS-48h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	osimertinib	48 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_OS_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_OS_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	osimertinib	48 hour	enrichment of phosphorylated protein
HCT-15-OS-96h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	osimertinib	96 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_OS_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_OS_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	osimertinib	96 hour	enrichment of phosphorylated protein
HCT-15-RA-48h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	ralimetinib	48 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_RA_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_RA_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	ralimetinib	48 hour	enrichment of phosphorylated protein
HCT-15-RA-96h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	ralimetinib	96 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_RA_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_RA_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	ralimetinib	96 hour	enrichment of phosphorylated protein
HCT-15-TR-48h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	trametinib	48 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_TR_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_TR_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	trametinib	48 hour	enrichment of phosphorylated protein
HCT-15-TR-96h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	trametinib	96 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_TR_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_TR_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	trametinib	96 hour	enrichment of phosphorylated protein
HCT-15-WI-48h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	WIKI4	48 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_WI_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_WI_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	WIKI4	48 hour	enrichment of phosphorylated protein
HCT-15-WI-96h-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	WIKI4	96 hour	enrichment of phosphorylated protein	cell	1	run 20200130_George_HCT15_WI_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200130_George_HCT15_WI_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	WIKI4	96 hour	enrichment of phosphorylated protein
HCT-15-BL-0min-r1-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	not applicable	0 hour	enrichment of phosphorylated protein	cell	1	run 20200330_George_HCT15_0h_phos_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200330_George_HCT15_0h_phos_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	not applicable	0 hour	enrichment of phosphorylated protein
HCT-15-BL-0min-r2-phos	Homo sapiens	colon	colon epithelial cell	HCT-15	CVCL_0292	HCT 15	colon adenocarcinoma	adult	67Y	male	European ancestry	colon	not applicable	not applicable	0 hour	enrichment of phosphorylated protein	cell	2	run 20200330_George_HCT15_0h_phos_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20200330_George_HCT15_0h_phos_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	HCT-15	not applicable	0 hour	enrichment of phosphorylated protein
