source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[biorepository]	characteristics[culture medium]	characteristics[passage number]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[genotype]	characteristics[compound]	characteristics[dose]	characteristics[treatment]	characteristics[sampling time]	characteristics[exposure duration]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sampling time]
PANC1_B48_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	48 hour	48 hour	3	run 31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_31_150427_Xuwang_B48_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	48 hour
PANC1_B72_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	72 hour	72 hour	3	run 32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_32_150427_Xuwang_B72_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	72 hour
PANC1_P6_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	6 hour	6 hour	3	run 33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_33_150427_Xuwang_P6_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	6 hour
PANC1_P24_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	24 hour	24 hour	3	run 34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_34_150427_Xuwang_P24_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	24 hour
PANC1_P48_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	48 hour	48 hour	3	run 35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_35_150427_Xuwang_P48_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	48 hour
PANC1_P72_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	72 hour	72 hour	3	run 36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_36_150427_Xuwang_P72_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	72 hour
PANC1_PB6_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	6 hour	6 hour	3	run 37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_37_150427_Xuwang_PB6_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	6 hour
PANC1_PB24_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	24 hour	24 hour	3	run 38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_38_150427_Xuwang_PB24_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	24 hour
PANC1_PB48_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	48 hour	48 hour	3	run 39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_39_150427_Xuwang_PB48_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	48 hour
PANC1_PB72_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	72 hour	72 hour	3	run 40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_40_150427_Xuwang_PB72_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	72 hour
