source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[colonization]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[alkylation reagent]	comment[reduction reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[colonization]	factor value[organism part]
CR-mouse1-ileum	Mus musculus	ileum	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	1	ath018167	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018167.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	ileum
CR-mouse2-proximal-colon	Mus musculus	right colon	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	2	ath018168	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018168.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	right colon
CR-mouse3-stomach	Mus musculus	stomach	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	3	ath018169	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018169.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	stomach
CR-mouse2-cecum	Mus musculus	caecum	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	2	ath018170	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018170.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	caecum
CR-mouse1-stomach	Mus musculus	stomach	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	1	ath018171	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018171.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	stomach
CR-mouse2-jejunum	Mus musculus	jejunum	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	2	ath018174	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018174.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	jejunum
CR-mouse2-ileum	Mus musculus	ileum	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	2	ath018175	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018175.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	ileum
CR-mouse1-cecum	Mus musculus	caecum	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	1	ath018176	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018176.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	caecum
CR-mouse3-proximal-colon	Mus musculus	right colon	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	3	ath018177	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018177.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	right colon
CR-mouse1-proximal-colon	Mus musculus	right colon	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	1	ath018178	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018178.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	right colon
