source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[diet]	factor value[intestinal region]	factor value[time on Western-style diet]
PXD028613 experiment 36: Si8 WSD 56 days	Mus musculus	ileum	not available	36	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_36	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	56
PXD028613 experiment 37: Si8 WSD 56 days	Mus musculus	ileum	not available	37	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_37	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	56
PXD028613 experiment 38: Si8 WSD 56 days	Mus musculus	ileum	not available	38	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_38	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	56
PXD028613 experiment 39: Si8 CD.6	Mus musculus	ileum	not available	39	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_39	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI8 (ileum)	0
PXD028613 experiment 40: Si8 CD.7	Mus musculus	ileum	not available	40	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_40	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI8 (ileum)	0
PXD028613 experiment 41: Si8 CD.8	Mus musculus	ileum	not available	41	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_41	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI8 (ileum)	0
PXD028613 experiment 42: Si8 WSD 1 day.1	Mus musculus	ileum	not available	42	not pooled	not available	organism part	1 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_42	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	1
PXD028613 experiment 43: Si8 WSD 1 day.2	Mus musculus	ileum	not available	43	not pooled	not available	organism part	1 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_43	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	1
PXD028613 experiment 44: Si8 WSD 1 day.3	Mus musculus	ileum	not available	44	not pooled	not available	organism part	1 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_44	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	1
PXD028613 experiment 45: Si8 3 days.1	Mus musculus	ileum	not available	45	not pooled	not available	organism part	3 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_45	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	3
PXD028613 experiment 46: Si8 3 days.2	Mus musculus	ileum	not available	46	not pooled	not available	organism part	3 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_46	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	3
PXD028613 experiment 47: Si8 3 days.3	Mus musculus	ileum	not available	47	not pooled	not available	organism part	3 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_47	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	3
PXD028613 experiment 48: Si8 7 days.1	Mus musculus	ileum	not available	48	not pooled	not available	organism part	7 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_48	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	7
PXD028613 experiment 49: Si8 7 days.2	Mus musculus	ileum	not available	49	not pooled	not available	organism part	7 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_49	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	7
PXD028613 experiment 50: Si8 7 days.3	Mus musculus	ileum	not available	50	not pooled	not available	organism part	7 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_50	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	7
PXD028613 experiment 52: Si8 14 days.1	Mus musculus	ileum	not available	52	not pooled	not available	organism part	14 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_52	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	14
PXD028613 experiment 53: Si8 14 days.2	Mus musculus	ileum	not available	53	not pooled	not available	organism part	14 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_53	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	14
PXD028613 experiment 54: Si8 28 days.1	Mus musculus	ileum	not available	54	not pooled	not available	organism part	28 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_54	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	28
PXD028613 experiment 55: Si8 28 days.2	Mus musculus	ileum	not available	55	not pooled	not available	organism part	28 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_55	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	28
PXD028613 experiment 56: Si8 28 days.3	Mus musculus	ileum	not available	56	not pooled	not available	organism part	28 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_56	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	28
