source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[strain/genotype]	characteristics[expression construct]	characteristics[time]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
DM32	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	LP expression strain	20 min	9243_MOL0083_S011_DM32_LP_LD10_T20_D_1_Slot1-20	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9243_MOL0083_S011_DM32_LP_LD10_T20_D_1_Slot1-20.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM33	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	LP expression strain	45 min	9295_MOL0084_S056_DM33_LP_LD10_T45_A_1_Slot2-47	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9295_MOL0084_S056_DM33_LP_LD10_T45_A_1_Slot2-47.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM34	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	LP expression strain	45 min	9233_MOL0097_S002_DM34_LP_LD10_T45_B_1_Slot1-11	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9233_MOL0097_S002_DM34_LP_LD10_T45_B_1_Slot1-11.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM35	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_LD10	LP expression strain	45 min	9277_MOL0084_S040_DM35_LP_LD10_T45_C_1_Slot1-49	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9277_MOL0084_S040_DM35_LP_LD10_T45_C_1_Slot1-49.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM36	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	LP expression strain	45 min	9274_MOL0084_S037_DM36_LP_LD10_T45_D_1_Slot1-46	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9274_MOL0084_S037_DM36_LP_LD10_T45_D_1_Slot1-46.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM37	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	LP expression strain	70 min	9282_MOL0084_S045_DM37_LP_LD10_T70_A_1_Slot1-54	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9282_MOL0084_S045_DM37_LP_LD10_T70_A_1_Slot1-54.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM38	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	LP expression strain	70 min	9267_MOL0102_S032_DM38_LP_LD10_T70_B_1_Slot1-41	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9267_MOL0102_S032_DM38_LP_LD10_T70_B_1_Slot1-41.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM39	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_LD10	LP expression strain	70 min	9291_MOL0084_S053_DM39_LP_LD10_T70_C_1_Slot2-44	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9291_MOL0084_S053_DM39_LP_LD10_T70_C_1_Slot2-44.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM40	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	LP expression strain	70 min	9263_MOL0103_S028_DM40_LP_LD10_T70_D_1_Slot1-37	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9263_MOL0103_S028_DM40_LP_LD10_T70_D_1_Slot1-37.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM41	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_sc8	LP expression strain	0 min	9254_MOL0083_S020_DM41_LP_sc8_T0_A_1_Slot1-29	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9254_MOL0083_S020_DM41_LP_sc8_T0_A_1_Slot1-29.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
