source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
TP0_Por_H_2744_2	TP0_Por_H_2744_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Por_H_2744_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Por_H_2744_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_A_2022_1	TP0_Sty_A_2022_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_A_2022_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_A_2022_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_A_2022_2	TP0_Sty_A_2022_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_A_2022_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_A_2022_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_A_2023_1	TP0_Sty_A_2023_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_A_2023_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_A_2023_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_A_2023_2	TP0_Sty_A_2023_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_A_2023_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_A_2023_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_A_5189_1	TP0_Sty_A_5189_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_A_5189_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_A_5189_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_A_5189_2	TP0_Sty_A_5189_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_A_5189_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_A_5189_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_H_2242_1	TP0_Sty_H_2242_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_H_2242_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_H_2242_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_H_2242_2	TP0_Sty_H_2242_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_H_2242_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_H_2242_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_H_2312_1	TP0_Sty_H_2312_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_H_2312_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_H_2312_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_H_2312_2	TP0_Sty_H_2312_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_H_2312_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_H_2312_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_H_2314_1	TP0_Sty_H_2314_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_H_2314_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_H_2314_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Sty_H_2314_2	TP0_Sty_H_2314_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Sty_H_2314_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Sty_H_2314_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP1_Acr_A_13_1	TP1_Acr_A_13_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP1_Acr_A_13_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP1_Acr_A_13_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP1_Acr_A_13_2	TP1_Acr_A_13_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP1_Acr_A_13_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP1_Acr_A_13_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
