source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
JG-N1-14	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	14	JG-N1-14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N1-14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N1-14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N2-14A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-N2-14A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N2-14A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N2-14A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG_TiO2_C2_04	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	4	JG_TiO2_C2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG_TiO2_C2_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG_TiO2_C2_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N2-16	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	16	JG-N2-16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N2-16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N2-16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N3-11	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	11	JG-N3-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N3-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N3-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG_TiO2_C2_07	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	7	JG_TiO2_C2_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG_TiO2_C2_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG_TiO2_C2_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C2-17	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	17	JG-C2-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C2-17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C2-17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C3-TiO2-10	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	10	JG-C3-TiO2-10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C3-TiO2-10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C3-TiO2-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C1-16	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	16	JG-C1-16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C1-16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C1-16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C1-8A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-C1-8A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C1-8A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C1-8A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N3-4A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-N3-4A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N3-4A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N3-4A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N1-9-A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-N1-9-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N1-9-A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N1-9-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N2-12	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	12	JG-N2-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N2-12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N2-12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C1-16A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-C1-16A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C1-16A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C1-16A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C2-11	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	11	JG-C2-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C2-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C2-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N1-17-A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-N1-17-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N1-17-A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N1-17-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C1-12	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	12	JG-C1-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C1-12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C1-12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N3-7	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	7	JG-N3-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N3-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N3-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C1-18A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-C1-18A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C1-18A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C1-18A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C2-6A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-C2-6A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C2-6A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C2-6A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-TiO2-N3-5	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	5	JG-TiO2-N3-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-N3-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-N3-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C3-7A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-C3-7A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C3-7A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C3-7A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N1-8-A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-N1-8-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N1-8-A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N1-8-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-TiO2-N2-2A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-TiO2-N2-2A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-N2-2A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-N2-2A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-TiO2-C1-7	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	7	JG-TiO2-C1-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-C1-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-C1-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
