source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[proteomics data acquisition method]	comment[fractionation method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cleavage agent details]
Sample 16	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 74	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Trypsin;AC=MS:1001251	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	3	1	HeLa_ArgC-Try_pH6_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Trypsin;AC=MS:1001251
Sample 16	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 75	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Trypsin;AC=MS:1001251	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	3	2	HeLa_ArgC-Try_pH6_HCD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Trypsin;AC=MS:1001251
Sample 16	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 76	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Trypsin;AC=MS:1001251	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	3	3	HeLa_ArgC-Try_pH6_HCD_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Trypsin;AC=MS:1001251
Sample 16	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 77	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Trypsin;AC=MS:1001251	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	2	1	HeLa_ArgC-Try_pH8_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Trypsin;AC=MS:1001251
Sample 16	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 78	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Trypsin;AC=MS:1001251	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	2	2	HeLa_ArgC-Try_pH8_HCD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Trypsin;AC=MS:1001251
Sample 16	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 79	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Trypsin;AC=MS:1001251	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	2	3	HeLa_ArgC-Try_pH8_HCD_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Trypsin;AC=MS:1001251
Sample 17	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 80	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	not applicable	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_ArgC_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308
Sample 17	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 81	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	not applicable	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	2	HeLa_ArgC_CID_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308
Sample 17	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 82	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	not applicable	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	3	HeLa_ArgC_CID_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308
Sample 17	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 83	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	not applicable	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	4	HeLa_ArgC_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308
Sample 17	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 84	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	not applicable	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	5	HeLa_ArgC_HCD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308
Sample 17	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 85	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	not applicable	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	6	HeLa_ArgC_HCD_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308
Sample 18	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 86	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Chymotrypsin;AC=MS:1001306	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AspN-Chytry_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Chymotrypsin;AC=MS:1001306
Sample 18	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 87	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Chymotrypsin;AC=MS:1001306	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	2	HeLa_AspN-Chytry_CID_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Chymotrypsin;AC=MS:1001306
Sample 18	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 88	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Chymotrypsin;AC=MS:1001306	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	3	HeLa_AspN-Chytry_CID_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Chymotrypsin;AC=MS:1001306
Sample 19	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 89	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Elastase;AC=MS:1001307	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AspN-Elastase_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Elastase;AC=MS:1001307
Sample 19	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 90	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Elastase;AC=MS:1001307	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	2	HeLa_AspN-Elastase_CID_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Elastase;AC=MS:1001307
Sample 19	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 91	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Elastase;AC=MS:1001307	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	3	HeLa_AspN-Elastase_CID_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Elastase;AC=MS:1001307
Sample 20	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 92	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Glu-C;AC=MS:1001917	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AspN-GluC_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Glu-C;AC=MS:1001917
Sample 20	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 93	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Glu-C;AC=MS:1001917	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	2	HeLa_AspN-GluC_CID_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Glu-C;AC=MS:1001917
Sample 20	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 94	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Glu-C;AC=MS:1001917	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	3	HeLa_AspN-GluC_CID_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Glu-C;AC=MS:1001917
Sample 20	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 95	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Glu-C;AC=MS:1001917	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	4	HeLa_AspN-GluC_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Glu-C;AC=MS:1001917
Sample 20	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 96	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Glu-C;AC=MS:1001917	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	5	HeLa_AspN-GluC_HCD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Glu-C;AC=MS:1001917
Sample 20	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 97	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Glu-C;AC=MS:1001917	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	6	HeLa_AspN-GluC_HCD_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Glu-C;AC=MS:1001917
Sample 21	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 98	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Lys-C;AC=MS:1001309	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AspN-LysC_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Lys-C;AC=MS:1001309
Sample 21	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 99	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Lys-C;AC=MS:1001309	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	2	HeLa_AspN-LysC_CID_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Lys-C;AC=MS:1001309
Sample 21	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 100	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Lys-C;AC=MS:1001309	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	3	HeLa_AspN-LysC_CID_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Lys-C;AC=MS:1001309
Sample 21	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 101	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Lys-C;AC=MS:1001309	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	4	HeLa_AspN-LysC_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Lys-C;AC=MS:1001309
Sample 21	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 102	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Lys-C;AC=MS:1001309	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	5	HeLa_AspN-LysC_HCD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Lys-C;AC=MS:1001309
Sample 21	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 103	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Lys-C;AC=MS:1001309	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	6	HeLa_AspN-LysC_HCD_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Lys-C;AC=MS:1001309
Sample 22	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 104	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Trypsin;AC=MS:1001251	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AspN-Try_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Trypsin;AC=MS:1001251
Sample 22	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 105	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Asp-N;AC=MS:1001303	NT=Trypsin;AC=MS:1001251	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	2	HeLa_AspN-Try_CID_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Asp-N;AC=MS:1001303|NT=Trypsin;AC=MS:1001251
