id	group	label	reason	organism_taxname	pmid	doi	n_raw_files	n_sdrf_rows	instrument	quantification	experiment_types	title
PXD045393	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	120	120	Q Exactive HF	not available	Shotgun proteomics	Multiple phosphorylation sites regulate the activity of the repressor Mig1 in Candida albicans
PXD045873	Candida	include	annotated in this batch	Candida albicans sc5314	40172491	10.6019/PXD045873	2	2	LTQ Orbitrap	Spectrum counting	Shotgun proteomics	Candida albicans biofilm extracellular vesicles deliver candidalysin to epithelial cell membranes and induce host cell responses
PXD046911	Candida	include	annotated in this batch	[candida] auris	not available	10.6019/PXD046911	8	8	LTQ Orbitrap	Spectrum counting	Shotgun proteomics	Candida auris proteomic profiling
PXD047025	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	10.6019/PXD047025	32	32	Q Exactive	not available	Data-dependent acquisition	Analysis of protein biosynthesis errors in Candida albicans.
PXD048342	Candida	include	annotated in this batch	[candida] auris	not available	not available	12	12	Orbitrap Exploris 480	not available	Bottom-up proteomics	Comparative proteomics of pan-antifungal drug-resistant and drug-sensitive Candida auris
PXD049223	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	not available	not available	8	8	LTQ Orbitrap Velos	not available	Bottom-up proteomics	CgSub2 interactome analysis in the presence and absence of CgHog1 MAPK in Candida glabrata
PXD049380	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	not available	not available	7	7	LTQ Orbitrap Velos	not available	Bottom-up proteomics	Interactome analysis of the CgHog1 MAPK under varied-iron conditions in Candida glabrata
PXD052475	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	20	20	timsTOF Pro 2	Label free	Bottom-up proteomics;Data-dependent acquisition	C. albicans cells exhibit specific proteomic profiles depending on the medium used to induce the filamentation process
PXD054683	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	4	4	Q Exactive HF	not available	Bottom-up proteomics	Functional properties of Candida albicans extracellular vesicles released in the presence of the antifungal drugs amphotericin B, fluconazole and caspofungin
PXD055891	Candida	include	annotated in this batch	Candida albicans (yeast)	39796100	10.6019/PXD055891	6	6	Q Exactive HF	Label free	Bottom-up proteomics;Data-dependent acquisition	Label free comparison of the protein cargo of extracellular vesicles (EVs) isolated from SC5314 and ecm33∆ mutant cells of Candida albicans after 16 hours of growth in YPD medium
PXD057542	Candida	include	annotated in this batch	[candida] auris	not available	not available	9	9	Orbitrap Exploris 480	not available	Data-independent acquisition;Bottom-up proteomics	CandidOmics FWF-P33425: Integrative omics study to probe Candida auris
PXD058801	Candida	include	annotated in this batch	[candida] auris	not available	not available	18	18	timsTOF Pro	not available	Bottom-up proteomics;Data-dependent acquisition	Systemic acetylome analysis of evolution in fluconazole resistance Candida auris
PXD061358	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	7	7	Orbitrap Fusion	TIC	Bottom-up proteomics	Structural Basis for Psilocybin Biosynthesis
PXD067392	Candida	include	annotated in this batch	Candida albicans sc5314	not available	10.6019/PXD067392	14	14	LTQ Orbitrap Elite	Spectrum counting	Bottom-up proteomics	In Vivo Characterization of Candida Extracellular Vesicles Reveals Unique Infection Pathway Proteins and Validates In Vitro Observations
PXD068797	Candida	include	annotated in this batch	Candida albicans (yeast)	41781388	not available	10	10	Q Exactive HF	Protein Abundance Index - PAI	Data-dependent acquisition	Inhibiting Mrt4-rRNA interaction with fumaramidmycin-based derivatives as an unexploited antifungal strategy
PXD070229	Candida	include	annotated in this batch	[candida] auris	41440691	not available	2	2	Orbitrap Exploris 240	not available	Bottom-up proteomics	Evaluation of Ca37 monoclonal antibody against pathogenic fungal Candidozyma auris
PXD071309	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	8	8	timsTOF HT	not available	Bottom-up proteomics	Label-free quantitative proteomic analysis of Candida albicans wild-type (SC5314) and mcu1/mcu1 mutant
