source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf annotation tool]	comment[sdrf version]	comment[sdrf template]
2023_12_20_BS03_WWA8_250pgHeLa_rep1	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	33	2023_12_20_BS03_WWA8_250pgHeLa_rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_20_BS03_WWA8_250pgHeLa_rep1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_20_BS03_WWA8_250pgHeLa_rep1.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	HCD	30% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_13_BS04_D4	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_13_BS04_D4	1	34	2024_02_13_BS04_D4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_13_BS04_D4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_13_BS04_D4.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2023_12_20_BS06_DDAtop10_250pgHeLa_rep5	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	35	2023_12_20_BS06_DDAtop10_250pgHeLa_rep5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_20_BS06_DDAtop10_250pgHeLa_rep5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_20_BS06_DDAtop10_250pgHeLa_rep5.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_13_BS03_D3	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_13_BS03_D3	1	36	2024_02_13_BS03_D3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_13_BS03_D3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_13_BS03_D3.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_15_BS02_D5	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_15_BS02_D5	1	37	2024_02_15_BS02_D5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_15_BS02_D5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_15_BS02_D5.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_13_BS02_D2	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_13_BS02_D2	1	38	2024_02_13_BS02_D2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_13_BS02_D2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_13_BS02_D2.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_13_BS01_D1	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_13_BS01_D1	1	39	2024_02_13_BS01_D1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_13_BS01_D1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_13_BS01_D1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_15_BS05_D8	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_15_BS05_D8	1	40	2024_02_15_BS05_D8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_15_BS05_D8.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_15_BS05_D8.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2023_12_18_BS03_DDAtop10_250pgHeLa_rep1	Homo sapiens	not applicable	not available	not available	not available	not applicable	not applicable	not available	not applicable	HeLa	not available	not available	not applicable	not applicable	not applicable	41	2023_12_18_BS03_DDAtop10_250pgHeLa_rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2023_12_18_BS03_DDAtop10_250pgHeLa_rep1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2023_12_18_BS03_DDAtop10_250pgHeLa_rep1.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_14_BS04_V5	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_14_BS04_V5	1	42	2024_02_14_BS04_V5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_14_BS04_V5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_14_BS04_V5.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
2024_02_14_BS02_V3	Xenopus laevis	embryo	not available	not available	not available	blastula stage	not available	not available	early embryonic cell	not applicable	cell	single cell	manual picking	2024_02_14_BS02_V3	1	43	2024_02_14_BS02_V3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2024_02_14_BS02_V3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD062702/2024_02_14_BS02_V3.RAW	1	label free sample	not applicable	not applicable	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	HCD	28% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	pride-scp-sdrf v0.3.1	v1.1.0	single-cell v1.0.0
