source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[treatment]	characteristics[diet]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[treatment]	factor value[organism part]
HFD_ANGII_vehicle_498_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	498	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_498_HFD_ANGII_vehicle_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_498_HFD_ANGII_vehicle_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	blood plasma
HFD_ANGII_vehicle_495_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	495	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_495_HFD_ANGII_vehicle_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_495_HFD_ANGII_vehicle_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	blood plasma
HFD_ANGII_Sema_422_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	422	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_422_HFD_ANGII_Sema_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_422_HFD_ANGII_Sema_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	blood plasma
HFD_ANGII_Sema_499_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	499	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_499_HFD_ANGII_Sema_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_499_HFD_ANGII_Sema_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	blood plasma
Ctrl_SHAM_488_plasma	Mus musculus	blood plasma	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	488	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_488_Ctrl_SHAM_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_488_Ctrl_SHAM_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	blood plasma
HFD_ANGII_Sema_435_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	435	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_435_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_435_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	heart
Ctrl_SHAM_486_plasma	Mus musculus	blood plasma	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	486	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_486_Ctrl_SHAM_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_486_Ctrl_SHAM_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	blood plasma
HFD_ANGII_Pair_403_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	403	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_403_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_403_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	heart
HFD_ANGII_vehicle_271_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	271	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_271_HFD_ANGII_vehicle_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_271_HFD_ANGII_vehicle_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	blood plasma
HFD_ANGII_Pair_406_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	406	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_406_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_406_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	heart
Ctrl_SHAM_476_heart	Mus musculus	heart	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	476	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_476_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_476_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	heart
HFD_ANGII_vehicle_498_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	498	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_498_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_498_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	heart
HFD_ANGII_vehicle_495_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	495	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_495_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_495_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	heart
HFD_ANGII_Pair_431_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	431	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_431_HFD_ANGII_Pair_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_431_HFD_ANGII_Pair_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	blood plasma
HFD_ANGII_vehicle_217_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	217	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_217_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_217_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	heart
HFD_ANGII_Pair_403_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	403	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_403_HFD_ANGII_Pair_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_403_HFD_ANGII_Pair_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	blood plasma
HFD_ANGII_Pair_405_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	405	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_405_HFD_ANGII_Pair_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_405_HFD_ANGII_Pair_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	blood plasma
HFD_ANGII_Pair_409_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	409	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_409_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_409_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	heart
HFD_ANGII_Sema_435_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	435	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_435_HFD_ANGII_Sema_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_435_HFD_ANGII_Sema_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	blood plasma
HFD_ANGII_Sema_499_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	499	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_499_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_499_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	heart
HFD_ANGII_Sema_411_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	411	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_411_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_411_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	heart
HFD_ANGII_Pair_431_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	431	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_431_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Pair_431_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	heart
HFD_ANGII_vehicle_217_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	217	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_217_HFD_ANGII_vehicle_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_217_HFD_ANGII_vehicle_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	blood plasma
HFD_ANGII_vehicle_280_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	280	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_280_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_280_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	heart
