source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms min im]	comment[ms max im]	comment[ms1 scan range]	factor value[cell type]	factor value[treatment]
DBS05_alpha_ifng1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_04_D1_1_4826	proteomic profiling by mass spectrometry	4	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_04_D1_1_4826.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	Interferon Gamma
DBS05_alpha_ifng1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_05_D1_1_4828	proteomic profiling by mass spectrometry	5	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_05_D1_1_4828.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	Interferon Gamma
DBS05_beta_ifng1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_01_F1_1_4854	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_01_F1_1_4854.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	Interferon Gamma
DBS05_beta_ifng1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_02_F1_1_4857	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_02_F1_1_4857.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	Interferon Gamma
DBS05_beta_ifng1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_03_F1_1_4861	proteomic profiling by mass spectrometry	3	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_03_F1_1_4861.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	Interferon Gamma
DBS05_beta_ifng1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_04_F1_1_4865	proteomic profiling by mass spectrometry	4	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_04_F1_1_4865.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	Interferon Gamma
DBS05_beta_ifng1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_05_F1_1_4867	proteomic profiling by mass spectrometry	5	20210610_TIMS05_MCT_SA_DBS05_06_beta_ifng1_05_F1_1_4867.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	Interferon Gamma
DBS05_delta_control2	Mus musculus	islet of Langerhans	pancreatic D cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_01_D2_1_4764	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_01_D2_1_4764.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_delta_control2	Mus musculus	islet of Langerhans	pancreatic D cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_02_D2_1_4768	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_02_D2_1_4768.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_delta_control2	Mus musculus	islet of Langerhans	pancreatic D cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_03_D2_1_4771	proteomic profiling by mass spectrometry	3	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_03_D2_1_4771.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_delta_control2	Mus musculus	islet of Langerhans	pancreatic D cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_04_D2_1_4773	proteomic profiling by mass spectrometry	4	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_04_D2_1_4773.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_delta_control2	Mus musculus	islet of Langerhans	pancreatic D cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_05_D2_1_4775	proteomic profiling by mass spectrometry	5	20210610_TIMS05_MCT_SA_DBS05_07_delta_control2_05_D2_1_4775.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	control
DBS05_alpha_control2	Mus musculus	islet of Langerhans	pancreatic A cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_01_H2_1_4799	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_01_H2_1_4799.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
DBS05_alpha_control2	Mus musculus	islet of Langerhans	pancreatic A cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_02_H2_1_4803	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_02_H2_1_4803.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
DBS05_alpha_control2	Mus musculus	islet of Langerhans	pancreatic A cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_03_H2_1_4806	proteomic profiling by mass spectrometry	3	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_03_H2_1_4806.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
DBS05_alpha_control2	Mus musculus	islet of Langerhans	pancreatic A cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_04_H2_1_4808	proteomic profiling by mass spectrometry	4	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_04_H2_1_4808.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
DBS05_alpha_control2	Mus musculus	islet of Langerhans	pancreatic A cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_05_H2_1_4810	proteomic profiling by mass spectrometry	5	20210610_TIMS05_MCT_SA_DBS05_08_alpha_control2_05_H2_1_4810.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	control
DBS05_beta_control2	Mus musculus	islet of Langerhans	type B pancreatic cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_01_D2_1_4838	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_01_D2_1_4838.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_beta_control2	Mus musculus	islet of Langerhans	type B pancreatic cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_02_D2_1_4842	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_02_D2_1_4842.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_beta_control2	Mus musculus	islet of Langerhans	type B pancreatic cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_03_D2_1_4845	proteomic profiling by mass spectrometry	3	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_03_D2_1_4845.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_beta_control2	Mus musculus	islet of Langerhans	type B pancreatic cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_04_D2_1_4847	proteomic profiling by mass spectrometry	4	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_04_D2_1_4847.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_beta_control2	Mus musculus	islet of Langerhans	type B pancreatic cell	2	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_05_D2_1_4849	proteomic profiling by mass spectrometry	5	20210610_TIMS05_MCT_SA_DBS05_09_beta_control2_05_D2_1_4849.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_delta_ifng2	Mus musculus	islet of Langerhans	pancreatic D cell	2	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_10_delta_ifng2_01_F2_1_4781	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_10_delta_ifng2_01_F2_1_4781.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	Interferon Gamma
DBS05_delta_ifng2	Mus musculus	islet of Langerhans	pancreatic D cell	2	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_10_delta_ifng2_02_F2_1_4785	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_10_delta_ifng2_02_F2_1_4785.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	Interferon Gamma
