source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[enrichment process]	characteristics[viral bait]	characteristics[fusion orientation]	characteristics[expression mode]	characteristics[stimulation]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[viral bait]	factor value[fusion orientation]	factor value[expression mode]	factor value[stimulation]
FB-NSP3_stable_PIC_2506_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP3	N-terminal	stable	poly(I:C)	3	run FB-NSP3_stable_PIC_2506_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP3_stable_PIC_2506_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP3	N-terminal	stable	poly(I:C)
FB-NSP4_stable_0305_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP4	N-terminal	stable	not treated	1	run FB-NSP4_stable_0305_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP4_stable_0305_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP4	N-terminal	stable	not treated
FB-NSP4_stable_0305_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP4	N-terminal	stable	not treated	2	run FB-NSP4_stable_0305_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP4_stable_0305_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP4	N-terminal	stable	not treated
FB-NSP4_stable_0305_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP4	N-terminal	stable	not treated	3	run FB-NSP4_stable_0305_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP4_stable_0305_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP4	N-terminal	stable	not treated
FB-NSP4_stable_PIC_1306_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP4	N-terminal	stable	poly(I:C)	1	run FB-NSP4_stable_PIC_1306_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP4_stable_PIC_1306_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP4	N-terminal	stable	poly(I:C)
FB-NSP4_stable_PIC_1306_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP4	N-terminal	stable	poly(I:C)	2	run FB-NSP4_stable_PIC_1306_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP4_stable_PIC_1306_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP4	N-terminal	stable	poly(I:C)
FB-NSP4_stable_PIC_1306_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP4	N-terminal	stable	poly(I:C)	3	run FB-NSP4_stable_PIC_1306_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP4_stable_PIC_1306_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP4	N-terminal	stable	poly(I:C)
FB-NSP5_stable_2306_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP5	N-terminal	stable	not treated	1	run FB-NSP5_stable_2306_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP5_stable_2306_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP5	N-terminal	stable	not treated
FB-NSP5_stable_2306_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP5	N-terminal	stable	not treated	2	run FB-NSP5_stable_2306_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP5_stable_2306_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP5	N-terminal	stable	not treated
FB-NSP5_stable_2306_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP5	N-terminal	stable	not treated	3	run FB-NSP5_stable_2306_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP5_stable_2306_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP5	N-terminal	stable	not treated
FB-NSP5_stable_PIC_2506_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP5	N-terminal	stable	poly(I:C)	1	run FB-NSP5_stable_PIC_2506_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP5_stable_PIC_2506_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP5	N-terminal	stable	poly(I:C)
FB-NSP5_stable_PIC_2506_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP5	N-terminal	stable	poly(I:C)	2	run FB-NSP5_stable_PIC_2506_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP5_stable_PIC_2506_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP5	N-terminal	stable	poly(I:C)
FB-NSP5_stable_PIC_2506_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP5	N-terminal	stable	poly(I:C)	3	run FB-NSP5_stable_PIC_2506_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP5_stable_PIC_2506_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP5	N-terminal	stable	poly(I:C)
FB-NSP6_stable_0305_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP6	N-terminal	stable	not treated	1	run FB-NSP6_stable_0305_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP6_stable_0305_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP6	N-terminal	stable	not treated
FB-NSP6_stable_0305_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP6	N-terminal	stable	not treated	2	run FB-NSP6_stable_0305_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP6_stable_0305_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP6	N-terminal	stable	not treated
FB-NSP6_stable_0305_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP6	N-terminal	stable	not treated	3	run FB-NSP6_stable_0305_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP6_stable_0305_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP6	N-terminal	stable	not treated
FB-NSP6_stable_PIC_2906_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP6	N-terminal	stable	poly(I:C)	1	run FB-NSP6_stable_PIC_2906_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP6_stable_PIC_2906_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP6	N-terminal	stable	poly(I:C)
FB-NSP6_stable_PIC_2906_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP6	N-terminal	stable	poly(I:C)	2	run FB-NSP6_stable_PIC_2906_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP6_stable_PIC_2906_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP6	N-terminal	stable	poly(I:C)
FB-NSP6_stable_PIC_2906_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP6	N-terminal	stable	poly(I:C)	3	run FB-NSP6_stable_PIC_2906_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP6_stable_PIC_2906_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP6	N-terminal	stable	poly(I:C)
FB-NSP7_stable_1906_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP7	N-terminal	stable	not treated	1	run FB-NSP7_stable_1906_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP7_stable_1906_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP7	N-terminal	stable	not treated
FB-NSP7_stable_1906_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP7	N-terminal	stable	not treated	2	run FB-NSP7_stable_1906_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP7_stable_1906_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP7	N-terminal	stable	not treated
FB-NSP7_stable_1906_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP7	N-terminal	stable	not treated	3	run FB-NSP7_stable_1906_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP7_stable_1906_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP7	N-terminal	stable	not treated
FB-NSP7_stable_PIC_2906_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP7	N-terminal	stable	poly(I:C)	1	run FB-NSP7_stable_PIC_2906_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP7_stable_PIC_2906_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP7	N-terminal	stable	poly(I:C)
FB-NSP7_stable_PIC_2906_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP7	N-terminal	stable	poly(I:C)	2	run FB-NSP7_stable_PIC_2906_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP7_stable_PIC_2906_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP7	N-terminal	stable	poly(I:C)
FB-NSP7_stable_PIC_2906_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP7	N-terminal	stable	poly(I:C)	3	run FB-NSP7_stable_PIC_2906_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP7_stable_PIC_2906_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP7	N-terminal	stable	poly(I:C)
FB-NSP8_stable_0805_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP8	N-terminal	stable	not treated	1	run FB-NSP8_stable_0805_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP8_stable_0805_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP8	N-terminal	stable	not treated
FB-NSP8_stable_0805_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP8	N-terminal	stable	not treated	2	run FB-NSP8_stable_0805_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP8_stable_0805_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP8	N-terminal	stable	not treated
FB-NSP8_stable_0805_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP8	N-terminal	stable	not treated	3	run FB-NSP8_stable_0805_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP8_stable_0805_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP8	N-terminal	stable	not treated
FB-NSP8_stable_PIC_2906_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP8	N-terminal	stable	poly(I:C)	1	run FB-NSP8_stable_PIC_2906_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP8_stable_PIC_2906_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP8	N-terminal	stable	poly(I:C)
FB-NSP8_stable_PIC_2906_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP8	N-terminal	stable	poly(I:C)	2	run FB-NSP8_stable_PIC_2906_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP8_stable_PIC_2906_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP8	N-terminal	stable	poly(I:C)
FB-NSP8_stable_PIC_2906_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP8	N-terminal	stable	poly(I:C)	3	run FB-NSP8_stable_PIC_2906_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP8_stable_PIC_2906_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP8	N-terminal	stable	poly(I:C)
