source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD053037-Sample-51	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_250419_DIA_A_04	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_250419_DIA_A_04.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-52	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_250419_DIA_A_05a	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_250419_DIA_A_05a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-53	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_A_06	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_A_06.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-54	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_A_07	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_A_07.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-55	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_A_08	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_A_08.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-56	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_B_01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_B_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-57	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_B_02	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_B_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-58	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_B_03	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_B_03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-59	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_B_04	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_B_04.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-60	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_B_05	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_B_05.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-61	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_B_06	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_B_06.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-62	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_B_07	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_B_07.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-63	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_260419_DIA_B_08	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_260419_DIA_B_08.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-64	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_280419_DIA_A_09	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_280419_DIA_A_09.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-65	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_280419_DIA_A_10	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_280419_DIA_A_10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-66	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_280419_DIA_A_11	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_280419_DIA_A_11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-67	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_280419_DIA_A_12	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_280419_DIA_A_12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-68	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_280419_DIA_A_13	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_280419_DIA_A_13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-69	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_280419_DIA_A_14	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_280419_DIA_A_14.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-70	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_280419_DIA_A_15	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_280419_DIA_A_15.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-71	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_290419_DIA_B_09	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_290419_DIA_B_09.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-72	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_290419_DIA_B_10	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_290419_DIA_B_10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-73	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_290419_DIA_B_11	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_290419_DIA_B_11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-74	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_290419_DIA_B_12	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_290419_DIA_B_12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-75	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_290419_DIA_B_13	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_290419_DIA_B_13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-76	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_290419_DIA_B_14	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_290419_DIA_B_14.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-77	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_290419_DIA_B_15	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_290419_DIA_B_15.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-78	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_290419_DIA_B_15a	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_290419_DIA_B_15a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
