source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HOR1026-S02-A-Contr-L_27Au-M_27nonAu-H_WellA1	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S02-A-Contr-L_27Au-M_27nonAu-H_WellA1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S02-A-Contr-L_27Au-M_27nonAu-H_WellA1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S02-A-Contr-L_27Au-M_27nonAu-H_WellA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S25-A-Contr-L_36Au-M_36nonAu-H_WellC6	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S25-A-Contr-L_36Au-M_36nonAu-H_WellC6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S25-A-Contr-L_36Au-M_36nonAu-H_WellC6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S25-A-Contr-L_36Au-M_36nonAu-H_WellC6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S12-A-27nonAu-L_Contr-M_27Au-H_WellB2	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S12-A-27nonAu-L_Contr-M_27Au-H_WellB2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S12-A-27nonAu-L_Contr-M_27Au-H_WellB2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S12-A-27nonAu-L_Contr-M_27Au-H_WellB2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S16-A-36-AU-L_36-non-M_Contrl-H_WellB6	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S16-A-36-AU-L_36-non-M_Contrl-H_WellB6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S16-A-36-AU-L_36-non-M_Contrl-H_WellB6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S16-A-36-AU-L_36-non-M_Contrl-H_WellB6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S15-A-36-AU-L_36-non-M_Contrl-H_WellB5	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S15-A-36-AU-L_36-non-M_Contrl-H_WellB5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S15-A-36-AU-L_36-non-M_Contrl-H_WellB5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S15-A-36-AU-L_36-non-M_Contrl-H_WellB5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S05-A-27-AU-L_27-non-M_Contrl-H_WellA4	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S05-A-27-AU-L_27-non-M_Contrl-H_WellA4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S05-A-27-AU-L_27-non-M_Contrl-H_WellA4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S05-A-27-AU-L_27-non-M_Contrl-H_WellA4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S07-A-Contr-L_27Au-M_27nonAu-H_WellA6	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S07-A-Contr-L_27Au-M_27nonAu-H_WellA6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S07-A-Contr-L_27Au-M_27nonAu-H_WellA6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S07-A-Contr-L_27Au-M_27nonAu-H_WellA6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S16-A-27nonAu-L_Contr-M_27Au-H_WellB6	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S16-A-27nonAu-L_Contr-M_27Au-H_WellB6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S16-A-27nonAu-L_Contr-M_27Au-H_WellB6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S16-A-27nonAu-L_Contr-M_27Au-H_WellB6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S03-A-Contr-L_27Au-M_27nonAu-H_WellA2	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S03-A-Contr-L_27Au-M_27nonAu-H_WellA2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S03-A-Contr-L_27Au-M_27nonAu-H_WellA2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S03-A-Contr-L_27Au-M_27nonAu-H_WellA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S11-A-36-AU-L_36-non-M_Contrl-H_WellB1	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S11-A-36-AU-L_36-non-M_Contrl-H_WellB1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S11-A-36-AU-L_36-non-M_Contrl-H_WellB1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S11-A-36-AU-L_36-non-M_Contrl-H_WellB1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S13-A-36-AU-L_36-non-M_Contrl-H_WellB3	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S13-A-36-AU-L_36-non-M_Contrl-H_WellB3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S13-A-36-AU-L_36-non-M_Contrl-H_WellB3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S13-A-36-AU-L_36-non-M_Contrl-H_WellB3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S05-A-Contr-L_27Au-M_27nonAu-H_WellA4	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S05-A-Contr-L_27Au-M_27nonAu-H_WellA4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S05-A-Contr-L_27Au-M_27nonAu-H_WellA4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S05-A-Contr-L_27Au-M_27nonAu-H_WellA4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S14-A-36-AU-L_36-non-M_Contrl-H_WellB4	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S14-A-36-AU-L_36-non-M_Contrl-H_WellB4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S14-A-36-AU-L_36-non-M_Contrl-H_WellB4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S14-A-36-AU-L_36-non-M_Contrl-H_WellB4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
