source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[carbon source]	characteristics[proteomics assay]	characteristics[strain]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[carbon source]	factor value[sampling time]
heavy-standard-for-glucose-S11	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_15_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-4-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_15_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S8-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	2	not pooled	not applicable	cell	37 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_17_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-3-SILAC light	proteomic profiling by mass spectrometry	1	170412_17_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	37 minute
heavy-standard-for-glucose-S8	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_17_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-3-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_17_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S5-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	2	not pooled	not applicable	cell	5 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_19_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-2-SILAC light	proteomic profiling by mass spectrometry	1	170412_19_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	5 minute
heavy-standard-for-glucose-S5	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_19_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-2-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_19_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S2-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	2	not pooled	not applicable	cell	2 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_21_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-1-SILAC light	proteomic profiling by mass spectrometry	1	170412_21_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	2 minute
heavy-standard-for-glucose-S2	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_21_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-1-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_21_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S9-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	3	not pooled	not applicable	cell	37 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_23_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-3-SILAC light	proteomic profiling by mass spectrometry	1	170412_23_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	37 minute
heavy-standard-for-glucose-S9	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_23_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-3-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_23_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S12-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	3	not pooled	not applicable	cell	40 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_25_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-4-SILAC light	proteomic profiling by mass spectrometry	1	170412_25_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	40 minute
heavy-standard-for-glucose-S12	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_25_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-4-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_25_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S6-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	3	not pooled	not applicable	cell	5 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_27_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-2-SILAC light	proteomic profiling by mass spectrometry	1	170412_27_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	5 minute
heavy-standard-for-glucose-S6	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_27_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-2-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_27_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S15-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	3	not pooled	not applicable	cell	60 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_29_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-5-SILAC light	proteomic profiling by mass spectrometry	1	170412_29_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	60 minute
heavy-standard-for-glucose-S15	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_29_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-5-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_29_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S3-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	3	not pooled	not applicable	cell	2 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_31_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-1-SILAC light	proteomic profiling by mass spectrometry	1	170412_31_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	2 minute
heavy-standard-for-glucose-S3	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_31_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-1-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_31_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R3-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S16-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	1	not pooled	not applicable	cell	68 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170417_05_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-6-SILAC light	proteomic profiling by mass spectrometry	1	170417_05_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	68 minute
heavy-standard-for-glucose-S16	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170417_05_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-6-SILAC heavy	proteomic profiling by mass spectrometry	1	170417_05_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S25-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	1	not pooled	not applicable	cell	138 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170417_07_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-8-SILAC light	proteomic profiling by mass spectrometry	1	170417_07_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	138 minute
heavy-standard-for-glucose-S25	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170417_07_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-8-SILAC heavy	proteomic profiling by mass spectrometry	1	170417_07_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S28-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	1	not pooled	not applicable	cell	158 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170417_09_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-9-SILAC light	proteomic profiling by mass spectrometry	1	170417_09_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	158 minute
heavy-standard-for-glucose-S28	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170417_09_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-9-SILAC heavy	proteomic profiling by mass spectrometry	1	170417_09_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S26-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	2	not pooled	not applicable	cell	138 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170417_11_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-8-SILAC light	proteomic profiling by mass spectrometry	1	170417_11_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	138 minute
heavy-standard-for-glucose-S26	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170417_11_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-8-SILAC heavy	proteomic profiling by mass spectrometry	1	170417_11_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
