source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20230106_EMH_F1-1_Prot_200ng_FFPE_Rat1_Liver_7600_ZS_1_23	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	23	20230106_EMH_F1-1_Prot_200ng_FFPE_Rat1_Liver_7600_ZS_1_23	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230106_EMH_F1-1_Prot_200ng_FFPE_Rat1_Liver_7600_ZS_1_23.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230106_EMH_F1-1_Prot_200ng_FFPE_Rat1_Liver_7600_ZS_1_23.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Testis_R2_7600_ZS_84	rattus norvegicus	testis	not applicable	not available	enrichment of phosphorylated protein	adult	84	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Testis_R2_7600_ZS_84	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Testis_R2_7600_ZS_84.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Testis_R2_7600_ZS_84.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	testis
20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Kidney_R3_7600_ZS_34	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	34	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Kidney_R3_7600_ZS_34	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Kidney_R3_7600_ZS_34.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Kidney_R3_7600_ZS_34.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20230113_EMH_F1-1_Phos_1st_FFPE_Rat3_Kidney_R3_7600_ZS_07	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	7	20230113_EMH_F1-1_Phos_1st_FFPE_Rat3_Kidney_R3_7600_ZS_07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FFPE_Rat3_Kidney_R3_7600_ZS_07.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FFPE_Rat3_Kidney_R3_7600_ZS_07.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Liver_R1_7600_ZS_43	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	43	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Liver_R1_7600_ZS_43	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Liver_R1_7600_ZS_43.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FFPE_Rat2_Liver_R1_7600_ZS_43.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230107_EMH_F1-1_Prot_200ng_FF_Rat3_Kidney_7600_ZS_1_03	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	3	20230107_EMH_F1-1_Prot_200ng_FF_Rat3_Kidney_7600_ZS_1_03	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230107_EMH_F1-1_Prot_200ng_FF_Rat3_Kidney_7600_ZS_1_03.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230107_EMH_F1-1_Prot_200ng_FF_Rat3_Kidney_7600_ZS_1_03.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20230113_EMH_F1-1_Phos_1st_FFPE_Rat2_Liver_R1_7600_ZS_43	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	43	20230113_EMH_F1-1_Phos_1st_FFPE_Rat2_Liver_R1_7600_ZS_43	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FFPE_Rat2_Liver_R1_7600_ZS_43.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FFPE_Rat2_Liver_R1_7600_ZS_43.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230113_EMH_F1-1_Phos_1st_FF_Rat3_Brain_R1_7600_ZS_24	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	adult	24	20230113_EMH_F1-1_Phos_1st_FF_Rat3_Brain_R1_7600_ZS_24	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat3_Brain_R1_7600_ZS_24.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat3_Brain_R1_7600_ZS_24.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	brain
20230113_EMH_F1-1_Phos_1st_FF_Rat1_Testis_R3_7600_ZS_54	rattus norvegicus	testis	not applicable	not available	enrichment of phosphorylated protein	adult	54	20230113_EMH_F1-1_Phos_1st_FF_Rat1_Testis_R3_7600_ZS_54	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat1_Testis_R3_7600_ZS_54.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat1_Testis_R3_7600_ZS_54.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	testis
20230106_EMH_F1-1_Prot_200ng_FFPE_Rat2_Kidney_7600_ZS_1_22	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	22	20230106_EMH_F1-1_Prot_200ng_FFPE_Rat2_Kidney_7600_ZS_1_22	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230106_EMH_F1-1_Prot_200ng_FFPE_Rat2_Kidney_7600_ZS_1_22.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230106_EMH_F1-1_Prot_200ng_FFPE_Rat2_Kidney_7600_ZS_1_22.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
