source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[genotype]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms min im]	comment[ms max im]	comment[scan window lower limit]	comment[scan window upper limit]	factor value[cell type]	factor value[genotype]
mouse 36M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	2	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	36M	20230628_TIMS06_FAR_SA_S250_MouseAAT__36M_central_S3-D1_1_9602	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__36M_central_S3-D1_1_9602.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	PiZ Alb-Cre
mouse 36M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	2	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	36M	20230628_TIMS06_FAR_SA_S250_MouseAAT__36M_intermediate_S3-D2_1_9603	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__36M_intermediate_S3-D2_1_9603.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre
mouse 36M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	2	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	36M	20230628_TIMS06_FAR_SA_S250_MouseAAT__36M_portal_S3-D3_1_9604	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__36M_portal_S3-D3_1_9604.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre
mouse 39M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	3	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	39M	20230628_TIMS06_FAR_SA_S250_MouseAAT__39M_central_S3-E7_1_9617	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__39M_central_S3-E7_1_9617.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	PiZ Alb-Cre
mouse 39M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	3	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	39M	20230628_TIMS06_FAR_SA_S250_MouseAAT__39M_intermediate_S3-E8_1_9618	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__39M_intermediate_S3-E8_1_9618.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre
mouse 39M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	3	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	39M	20230628_TIMS06_FAR_SA_S250_MouseAAT__39M_portal_S3-E9_1_9619	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__39M_portal_S3-E9_1_9619.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre
mouse 46M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	1	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	46M	20230628_TIMS06_FAR_SA_S250_MouseAAT__46M_central_S3-E1_1_9611	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__46M_central_S3-E1_1_9611.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 46M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	1	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	46M	20230628_TIMS06_FAR_SA_S250_MouseAAT__46M_intermediate_S3-E2_1_9612	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__46M_intermediate_S3-E2_1_9612.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 46M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	1	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	46M	20230628_TIMS06_FAR_SA_S250_MouseAAT__46M_portal_S3-E3_1_9613	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__46M_portal_S3-E3_1_9613.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 47M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	4	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	47M	20230628_TIMS06_FAR_SA_S250_MouseAAT__47M_central_S3-A5_1_9578	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__47M_central_S3-A5_1_9578.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	centrilobular region hepatocyte	PiZ Alb-Cre
mouse 47M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	4	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	47M	20230628_TIMS06_FAR_SA_S250_MouseAAT__47M_intermediate_S3-A6_1_9579	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__47M_intermediate_S3-A6_1_9579.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre
mouse 47M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	4	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	47M	20230628_TIMS06_FAR_SA_S250_MouseAAT__47M_portal_S3-A7_1_9580	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__47M_portal_S3-A7_1_9580.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre
mouse 48M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	2	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	48M	20230628_TIMS06_FAR_SA_S250_MouseAAT__48M_central_S3-E4_1_9614	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__48M_central_S3-E4_1_9614.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 48M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	2	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	48M	20230628_TIMS06_FAR_SA_S250_MouseAAT__48M_intermediate_S3-E5_1_9615	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__48M_intermediate_S3-E5_1_9615.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 48M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	2	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	48M	20230628_TIMS06_FAR_SA_S250_MouseAAT__48M_portal_S3-E6_1_9616	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__48M_portal_S3-E6_1_9616.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 78M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	3	normal	adult	not available	not available	8W	Alb-Cre	78M	20230628_TIMS06_FAR_SA_S250_MouseAAT__48M_portal_S3-F6_1_9625	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__48M_portal_S3-F6_1_9625.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	periportal region hepatocyte	Alb-Cre
mouse 63M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	1	normal	adult	not available	not available	8W	Alb-Cre	63M	20230628_TIMS06_FAR_SA_S250_MouseAAT__63M_central_S3-A8_1_9581	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__63M_central_S3-A8_1_9581.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	centrilobular region hepatocyte	Alb-Cre
mouse 63M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	1	normal	adult	not available	not available	8W	Alb-Cre	63M	20230628_TIMS06_FAR_SA_S250_MouseAAT__63M_intermediate_S3-A9_1_9582	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__63M_intermediate_S3-A9_1_9582.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	midzonal region hepatocyte	Alb-Cre
mouse 63M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	1	normal	adult	not available	not available	8W	Alb-Cre	63M	20230628_TIMS06_FAR_SA_S250_MouseAAT__63M_portal_S3-A10_1_9583	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__63M_portal_S3-A10_1_9583.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	periportal region hepatocyte	Alb-Cre
mouse 65M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	2	normal	adult	not available	not available	8W	Alb-Cre	65M	20230628_TIMS06_FAR_SA_S250_MouseAAT__65M_central_S3-F1_1_9620	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__65M_central_S3-F1_1_9620.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	Alb-Cre
mouse 65M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	2	normal	adult	not available	not available	8W	Alb-Cre	65M	20230628_TIMS06_FAR_SA_S250_MouseAAT__65M_intermediate_S3-F2_1_9621	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__65M_intermediate_S3-F2_1_9621.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	Alb-Cre
mouse 65M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	2	normal	adult	not available	not available	8W	Alb-Cre	65M	20230628_TIMS06_FAR_SA_S250_MouseAAT__65M_portal_S3-F3_1_9622	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__65M_portal_S3-F3_1_9622.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	Alb-Cre
mouse 75 central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	5	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	75	20230628_TIMS06_FAR_SA_S250_MouseAAT__75_central_S3-F7_1_9626	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__75_central_S3-F7_1_9626.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	centrilobular region hepatocyte	PiZ Alb-Cre
mouse 75 intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	5	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	75	20230628_TIMS06_FAR_SA_S250_MouseAAT__75_intermediate_S3-F8_1_9627	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__75_intermediate_S3-F8_1_9627.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre
mouse 75 portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	5	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	75	20230628_TIMS06_FAR_SA_S250_MouseAAT__75_portal_S3-F9_1_9628	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__75_portal_S3-F9_1_9628.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre
mouse 78M central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	3	normal	adult	not available	not available	8W	Alb-Cre	78M	20230628_TIMS06_FAR_SA_S250_MouseAAT__78M_central_S3-F4_1_9623	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__78M_central_S3-F4_1_9623.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	Alb-Cre
mouse 78M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	3	normal	adult	not available	not available	8W	Alb-Cre	78M	20230628_TIMS06_FAR_SA_S250_MouseAAT__78M_intermediate_S3-F5_1_9624	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__78M_intermediate_S3-F5_1_9624.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	Alb-Cre
mouse 82 central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	1	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	82	20230628_TIMS06_FAR_SA_S250_MouseAAT__82_central_S3-C7_1_9599	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__82_central_S3-C7_1_9599.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
