source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
E07363_1p_25_Alan_ubicofradic_fr28	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07363_1p_25_Alan_ubicofradic_fr28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	28	1	E07363_1p_25_Alan_ubicofradic_fr28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07363_1p_25_Alan_ubicofradic_fr28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07369_1p_25_Alan_ubicofradic_fr34	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07369_1p_25_Alan_ubicofradic_fr34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	34	1	E07369_1p_25_Alan_ubicofradic_fr34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07369_1p_25_Alan_ubicofradic_fr34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07417_1p_25_Alan_ubicofradic_fr80	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07417_1p_25_Alan_ubicofradic_fr80	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	80	1	E07417_1p_25_Alan_ubicofradic_fr80.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07417_1p_25_Alan_ubicofradic_fr80.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07357_1p_25_Alan_ubicofradic_fr22	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07357_1p_25_Alan_ubicofradic_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	22	1	E07357_1p_25_Alan_ubicofradic_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07357_1p_25_Alan_ubicofradic_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07452_1p_25_Alan_ubicofradic_blanc_fr22	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07452_1p_25_Alan_ubicofradic_blanc_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	22	1	E07452_1p_25_Alan_ubicofradic_blanc_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07452_1p_25_Alan_ubicofradic_blanc_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07366_2p_25_Alan_ubicofradic_fr31	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07366_2p_25_Alan_ubicofradic_fr31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	31	1	E07366_2p_25_Alan_ubicofradic_fr31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07366_2p_25_Alan_ubicofradic_fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07392_2p_25_Alan_ubicofradic_fr55	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07392_2p_25_Alan_ubicofradic_fr55	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	55	1	E07392_2p_25_Alan_ubicofradic_fr55.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07392_2p_25_Alan_ubicofradic_fr55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07388_2p_25_Alan_ubicofradic_fr51	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07388_2p_25_Alan_ubicofradic_fr51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	51	1	E07388_2p_25_Alan_ubicofradic_fr51.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07388_2p_25_Alan_ubicofradic_fr51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07395_1p_25_Alan_ubicofradic_fr58	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07395_1p_25_Alan_ubicofradic_fr58	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	58	1	E07395_1p_25_Alan_ubicofradic_fr58.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07395_1p_25_Alan_ubicofradic_fr58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07461_2p_25_Alan_ubicofradic_blanc_fr31	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07461_2p_25_Alan_ubicofradic_blanc_fr31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	31	1	E07461_2p_25_Alan_ubicofradic_blanc_fr31.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07461_2p_25_Alan_ubicofradic_blanc_fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07435_2p_25_Alan_ubicofradic_blanc_fr5	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07435_2p_25_Alan_ubicofradic_blanc_fr5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	5	1	E07435_2p_25_Alan_ubicofradic_blanc_fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07435_2p_25_Alan_ubicofradic_blanc_fr5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07480_1p_25_Alan_ubicofradic_blanc_fr50	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07480_1p_25_Alan_ubicofradic_blanc_fr50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	50	1	E07480_1p_25_Alan_ubicofradic_blanc_fr50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07480_1p_25_Alan_ubicofradic_blanc_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07362_2p_25_Alan_ubicofradic_fr27	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07362_2p_25_Alan_ubicofradic_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	27	1	E07362_2p_25_Alan_ubicofradic_fr27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07362_2p_25_Alan_ubicofradic_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07448_1p_25_Alan_ubicofradic_blanc_fr18	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07448_1p_25_Alan_ubicofradic_blanc_fr18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	18	1	E07448_1p_25_Alan_ubicofradic_blanc_fr18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07448_1p_25_Alan_ubicofradic_blanc_fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07451_2p_25_Alan_ubicofradic_blanc_fr21	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07451_2p_25_Alan_ubicofradic_blanc_fr21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	21	1	E07451_2p_25_Alan_ubicofradic_blanc_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07451_2p_25_Alan_ubicofradic_blanc_fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07437_2p_25_Alan_ubicofradic_blanc_fr7	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07437_2p_25_Alan_ubicofradic_blanc_fr7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	7	1	E07437_2p_25_Alan_ubicofradic_blanc_fr7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07437_2p_25_Alan_ubicofradic_blanc_fr7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07377_1p_25_Alan_ubicofradic_fr40	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07377_1p_25_Alan_ubicofradic_fr40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40	1	E07377_1p_25_Alan_ubicofradic_fr40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07377_1p_25_Alan_ubicofradic_fr40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07415_1p_25_Alan_ubicofradic_fr78	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07415_1p_25_Alan_ubicofradic_fr78	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	78	1	E07415_1p_25_Alan_ubicofradic_fr78.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07415_1p_25_Alan_ubicofradic_fr78.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07476_1p_25_Alan_ubicofradic_blanc_fr46	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07476_1p_25_Alan_ubicofradic_blanc_fr46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	46	1	E07476_1p_25_Alan_ubicofradic_blanc_fr46.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07476_1p_25_Alan_ubicofradic_blanc_fr46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07407_1p_25_Alan_ubicofradic_fr70	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07407_1p_25_Alan_ubicofradic_fr70	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	70	1	E07407_1p_25_Alan_ubicofradic_fr70.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07407_1p_25_Alan_ubicofradic_fr70.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07456_1p_25_Alan_ubicofradic_blanc_fr26	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07456_1p_25_Alan_ubicofradic_blanc_fr26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	26	1	E07456_1p_25_Alan_ubicofradic_blanc_fr26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07456_1p_25_Alan_ubicofradic_blanc_fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07402_2p_25_Alan_ubicofradic_fr65	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07402_2p_25_Alan_ubicofradic_fr65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	65	1	E07402_2p_25_Alan_ubicofradic_fr65.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07402_2p_25_Alan_ubicofradic_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07372_2p_25_Alan_ubicofradic_fr37	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07372_2p_25_Alan_ubicofradic_fr37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	37	1	E07372_2p_25_Alan_ubicofradic_fr37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07372_2p_25_Alan_ubicofradic_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07470_1p_25_Alan_ubicofradic_blanc_fr40	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07470_1p_25_Alan_ubicofradic_blanc_fr40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40	1	E07470_1p_25_Alan_ubicofradic_blanc_fr40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07470_1p_25_Alan_ubicofradic_blanc_fr40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07405_1p_25_Alan_ubicofradic_fr68	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07405_1p_25_Alan_ubicofradic_fr68	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	68	1	E07405_1p_25_Alan_ubicofradic_fr68.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07405_1p_25_Alan_ubicofradic_fr68.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07374_2p_25_Alan_ubicofradic_fr39	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07374_2p_25_Alan_ubicofradic_fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	39	1	E07374_2p_25_Alan_ubicofradic_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07374_2p_25_Alan_ubicofradic_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
