source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms min charge]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[type]	factor value[sampling time]	factor value[UV crosslinking]
RBP-0h-CL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	Ultraviolet Radiation	3	20240209_243_009_CDF_34I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_243_009_CDF_34I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	0 hour	yes
RBP-0h-noCL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	untreated	1	20240205_181_007_CDF_0hRBP-CL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_181_007_CDF_0hRBP-CL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	0 hour	no
RBP-0h-noCL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	untreated	2	20240209_224_009_CDF_25I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_224_009_CDF_25I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	0 hour	no
RBP-0h-noCL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	untreated	3	20240209_230_009_CDF_33I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_230_009_CDF_33I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	0 hour	no
RBP-3h-CL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	Ultraviolet Radiation	1	20240205_185_007_CDF_3hRBPwithCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_185_007_CDF_3hRBPwithCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	3 hour	yes
RBP-3h-CL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	Ultraviolet Radiation	2	20240209_239_009_CDF_6I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_239_009_CDF_6I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	3 hour	yes
RBP-3h-CL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	Ultraviolet Radiation	3	20240209_245_009_CDF_14I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_245_009_CDF_14I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	3 hour	yes
RBP-3h-noCL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	untreated	1	20240205_184_007_CDF_3hRBP-CL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_184_007_CDF_3hRBP-CL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	3 hour	no
RBP-3h-noCL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	untreated	2	20240209_226_009_CDF_5I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_226_009_CDF_5I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	3 hour	no
RBP-3h-noCL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	untreated	3	20240209_232_009_CDF_13I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_232_009_CDF_13I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	3 hour	no
RBP-7h-CL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	Ultraviolet Radiation	1	20240205_188_007_CDF_7hRBPwithCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_188_007_CDF_7hRBPwithCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	7 hour	yes
RBP-7h-CL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	Ultraviolet Radiation	2	20240209_241_009_CDF_8I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_241_009_CDF_8I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	7 hour	yes
RBP-7h-CL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	Ultraviolet Radiation	3	20240209_247_009_CDF_16I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_247_009_CDF_16I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	7 hour	yes
RBP-7h-noCL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	untreated	1	20240205_187_007_CDF_7hRBP-CL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_187_007_CDF_7hRBP-CL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	7 hour	no
RBP-7h-noCL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	untreated	2	20240209_228_009_CDF_7I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_228_009_CDF_7I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	7 hour	no
RBP-7h-noCL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	untreated	3	20240209_234_009_CDF_15I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_234_009_CDF_15I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	7 hour	no
RBP-12h-CL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	12 hour	Ultraviolet Radiation	1	20240410_733_021_CDF_50cm_42p_RBP12h-withCL_20240411225954	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240410_733_021_CDF_50cm_42p_RBP12h-withCL_20240411225954.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	12 hour	yes
RBP-12h-CL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	12 hour	Ultraviolet Radiation	2	20240410_736_021_CDF_50cm_50p_RBP12h-withCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240410_736_021_CDF_50cm_50p_RBP12h-withCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	12 hour	yes
RBP-12h-CL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	12 hour	Ultraviolet Radiation	3	20240410_739_021_CDF_50cm_58p_RBP12h-withCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240410_739_021_CDF_50cm_58p_RBP12h-withCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	12 hour	yes
RBP-12h-noCL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	12 hour	untreated	1	20240410_745_021_CDF_50cm_41_RBP12h-noCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240410_745_021_CDF_50cm_41_RBP12h-noCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	12 hour	no
RBP-12h-noCL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	12 hour	untreated	2	20240410_748_021_CDF_50cm_49_RBP12h-noCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240410_748_021_CDF_50cm_49_RBP12h-noCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	12 hour	no
RBP-12h-noCL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	12 hour	untreated	3	20240410_751_021_CDF_50cm_57_RBP12h-noCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240410_751_021_CDF_50cm_57_RBP12h-noCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	12 hour	no
