source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200619_EXPL2_JoMu_SA_Plasma_F1_1_03	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F1_1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F1_1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_6	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200619_EXPL2_JoMu_SA_Plasma_F2_2_07	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F2_2_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F2_2_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_3	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_ctrl_1_3	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_ctrl_1_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_ctrl_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_2_3	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_2_20200916173454	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_2_20200916173454	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_2_20200916173454.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200619_EXPL2_JoMu_SA_Plasma_F2_1_08	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F2_1_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F2_1_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20210728_EXPL0_LiSc_SA_3_6_K3_DMSO_Col	Ursus arctos horribilis	Blood plasma	1	20210728_EXPL0_LiSc_SA_3_6_K3_DMSO_Col	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210728_EXPL0_LiSc_SA_3_6_K3_DMSO_Col.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_ctrl_1_6	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_ctrl_1_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_ctrl_1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
