source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[phenotype]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
synovial_membrane_of_synovial_joint_H1OA_I_2	Equus caballus	synovial membrane of synovial joint	not applicable	osteoarthritis	inflamed	adult	not available	not available	not available	H1OA	tissue	2	run_38	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_043.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial membrane of synovial joint;AC=UBERON:0002018
cartilage_tissue_H1OA_C_1	Equus caballus	cartilage tissue	not applicable	osteoarthritis	control	adult	not available	not available	not available	H1OA	tissue	1	run_39	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_044.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H1OA_I_2	Equus caballus	cartilage tissue	not applicable	osteoarthritis	inflamed	adult	not available	not available	not available	H1OA	tissue	2	run_40	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_048.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H3OA_3	Equus caballus	cartilage tissue	not applicable	osteoarthritis	not applicable	adult	not available	not available	not available	H3OA	tissue	3	run_41	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_107.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H4OA_4	Equus caballus	cartilage tissue	not applicable	osteoarthritis	not applicable	adult	not available	not available	not available	H4OA	tissue	4	run_42	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_108.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H5OA_5	Equus caballus	cartilage tissue	not applicable	osteoarthritis	not applicable	adult	not available	not available	not available	H5OA	tissue	5	run_43	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_110.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
cartilage_tissue_H9OA_I_6	Equus caballus	cartilage tissue	not applicable	osteoarthritis	inflamed	adult	not available	not available	not available	H9OA	tissue	6	run_44	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1910_210.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cartilage tissue;AC=UBERON:0002418
synovial_fluid_H1OA_C_1	Equus caballus	synovial fluid	not applicable	osteoarthritis	control	adult	not available	not available	not available	H1OA	tissue	1	run_45	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_049.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA_C_2	Equus caballus	synovial fluid	not applicable	osteoarthritis	control	adult	not available	not available	not available	H1OA	tissue	2	run_46	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_054.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA_C_3	Equus caballus	synovial fluid	not applicable	osteoarthritis	control	adult	not available	not available	not available	H1OA	tissue	3	run_47	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_055.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA_C_4	Equus caballus	synovial fluid	not applicable	osteoarthritis	control	adult	not available	not available	not available	H1OA	tissue	4	run_48	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_116.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA_C_5	Equus caballus	synovial fluid	not applicable	osteoarthritis	control	adult	not available	not available	not available	H1OA	tissue	5	run_49	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_117.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA_I_6	Equus caballus	synovial fluid	not applicable	osteoarthritis	inflamed	adult	not available	not available	not available	H1OA	tissue	6	run_50	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_057.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA_I_7	Equus caballus	synovial fluid	not applicable	osteoarthritis	inflamed	adult	not available	not available	not available	H1OA	tissue	7	run_51	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_058.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA_I_8	Equus caballus	synovial fluid	not applicable	osteoarthritis	inflamed	adult	not available	not available	not available	H1OA	tissue	8	run_52	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_059.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H1OA_I_9	Equus caballus	synovial fluid	not applicable	osteoarthritis	inflamed	adult	not available	not available	not available	H1OA	tissue	9	run_53	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_118.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H2NA_10	Equus caballus	synovial fluid	not applicable	normal	not applicable	adult	not available	not available	not available	H2NA	tissue	10	run_54	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_095.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H3NA_11	Equus caballus	synovial fluid	not applicable	normal	not applicable	adult	not available	not available	not available	H3NA	tissue	11	run_55	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_096.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H4NA_I_12	Equus caballus	synovial fluid	not applicable	normal	inflamed	adult	not available	not available	not available	H4NA	tissue	12	run_56	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_101.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
synovial_fluid_H4NA_I_13	Equus caballus	synovial fluid	not applicable	normal	inflamed	adult	not available	not available	not available	H4NA	tissue	13	run_57	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_102.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=synovial fluid;AC=UBERON:0001090
blood_plasma_H1OA_I_1	Equus caballus	blood plasma	not applicable	osteoarthritis	inflamed	adult	not available	not available	not available	H1OA	tissue	1	run_58	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1910_212.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H1OA_I_2	Equus caballus	blood plasma	not applicable	osteoarthritis	inflamed	adult	not available	not available	not available	H1OA	tissue	2	run_59	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1910_213.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H1OA_3	Equus caballus	blood plasma	not applicable	osteoarthritis	not applicable	adult	not available	not available	not available	H1OA	tissue	3	run_60	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_060.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H1OA_4	Equus caballus	blood plasma	not applicable	osteoarthritis	not applicable	adult	not available	not available	not available	H1OA	tissue	4	run_61	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_081.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H1OA_5	Equus caballus	blood plasma	not applicable	osteoarthritis	not applicable	adult	not available	not available	not available	H1OA	tissue	5	run_62	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_082.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H2W_6	Equus caballus	blood plasma	not applicable	normal	not applicable	adult	not available	not available	not available	H2W	tissue	6	run_63	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_083.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H3W_7	Equus caballus	blood plasma	not applicable	normal	not applicable	adult	not available	not available	not available	H3W	tissue	7	run_64	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_084.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_plasma_H4W_8	Equus caballus	blood plasma	not applicable	normal	not applicable	adult	not available	not available	not available	H4W	tissue	8	run_65	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_086.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood plasma;AC=UBERON:0001969
blood_serum_H2W_1	Equus caballus	blood serum	not applicable	normal	not applicable	adult	not available	not available	not available	H2W	tissue	1	run_66	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_087.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood serum;AC=UBERON:0001977
blood_serum_H3W_2	Equus caballus	blood serum	not applicable	normal	not applicable	adult	not available	not available	not available	H3W	tissue	2	run_67	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_088.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood serum;AC=UBERON:0001977
blood_serum_H4W_3	Equus caballus	blood serum	not applicable	normal	not applicable	adult	not available	not available	not available	H4W	tissue	3	run_68	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_115.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood serum;AC=UBERON:0001977
peritoneal_fluid_H2W_1	Equus caballus	peritoneal fluid	not applicable	normal	not applicable	adult	not available	not available	not available	H2W	tissue	1	run_69	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_097.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=peritoneal fluid;AC=UBERON:0001268
peritoneal_fluid_H2W_2	Equus caballus	peritoneal fluid	not applicable	normal	not applicable	adult	not available	not available	not available	H2W	tissue	2	run_70	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_100.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=peritoneal fluid;AC=UBERON:0001268
peritoneal_fluid_H3W_3	Equus caballus	peritoneal fluid	not applicable	normal	not applicable	adult	not available	not available	not available	H3W	tissue	3	run_71	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_098.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=peritoneal fluid;AC=UBERON:0001268
bone_tissue_H3OA_1	Equus caballus	bone tissue	not applicable	osteoarthritis	not applicable	adult	not available	not available	not available	H3OA	tissue	1	run_72	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_103.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=bone tissue;AC=UBERON:0002481
bone_tissue_H4OA_2	Equus caballus	bone tissue	not applicable	osteoarthritis	not applicable	adult	not available	not available	not available	H4OA	tissue	2	run_73	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_105.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=bone tissue;AC=UBERON:0002481
bone_tissue_H5OA_3	Equus caballus	bone tissue	not applicable	osteoarthritis	not applicable	adult	not available	not available	not available	H5OA	tissue	3	run_74	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_106.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=bone tissue;AC=UBERON:0002481
