source name	characteristics[organism]	characteristics[organism part]	characteristics[compound]	characteristics[duration]	characteristics[age]	characteristics[cell type]	characteristics[fractionation method]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[disease]	characteristics[sex]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]
PXD041268-Sample 69	Homo sapiens	root	not available	not applicable	1W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 69	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211207_L1_09_nUT2_PB_58_H05_F9.raw	20211207_L1_09_nUT2_PB_58_H05_F9.raw	21	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	root
PXD041268-Sample 70	Homo sapiens	root	not available	not applicable	1W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 70	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211207_L1_10_nUT2_PB_58_H05_F10.raw	20211207_L1_10_nUT2_PB_58_H05_F10.raw	22	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	root
PXD041268-Sample 71	Homo sapiens	root	not available	not applicable	1W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 71	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211207_L1_11_nUT2_PB_58_H05_F11.raw	20211207_L1_11_nUT2_PB_58_H05_F11.raw	23	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	root
PXD041268-Sample 72	Homo sapiens	root	not available	not applicable	1W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 72	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211207_L1_12_nUT2_PB_58_H05_F12.raw	20211207_L1_12_nUT2_PB_58_H05_F12.raw	24	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	root
PXD041268-Sample 73	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 73	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_01_nUT2_PB_58_H06_F1.raw	20211209_L1_01_nUT2_PB_58_H06_F1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 74	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 74	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_02_nUT2_PB_58_H06_F2.raw	20211209_L1_02_nUT2_PB_58_H06_F2.raw	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 75	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 75	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_03_nUT2_PB_58_H06_F3.raw	20211209_L1_03_nUT2_PB_58_H06_F3.raw	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 76	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 76	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_04_nUT2_PB_58_H06_F4.raw	20211209_L1_04_nUT2_PB_58_H06_F4.raw	4	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 77	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 77	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_05_nUT2_PB_58_H06_F5.raw	20211209_L1_05_nUT2_PB_58_H06_F5.raw	5	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 78	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 78	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_06_nUT2_PB_58_H06_F6.raw	20211209_L1_06_nUT2_PB_58_H06_F6.raw	6	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 79	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 79	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_07_nUT2_PB_58_H06_F7.raw	20211209_L1_07_nUT2_PB_58_H06_F7.raw	7	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 80	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 80	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_08_nUT2_PB_58_H06_F8.raw	20211209_L1_08_nUT2_PB_58_H06_F8.raw	8	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 81	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 81	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_09_nUT2_PB_58_H06_F9.raw	20211209_L1_09_nUT2_PB_58_H06_F9.raw	9	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 82	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 82	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_10_nUT2_PB_58_H06_F10.raw	20211209_L1_10_nUT2_PB_58_H06_F10.raw	10	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 83	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 83	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_11_nUT2_PB_58_H06_F11.raw	20211209_L1_11_nUT2_PB_58_H06_F11.raw	11	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 84	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 84	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211209_L1_12_nUT2_PB_58_H06_F12.raw	20211209_L1_12_nUT2_PB_58_H06_F12.raw	12	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 85	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 85	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_01_nUT2_PB_58_H07_F1.raw	20211210_L1_01_nUT2_PB_58_H07_F1.raw	13	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 86	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 86	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_02_nUT2_PB_58_H07_F2.raw	20211210_L1_02_nUT2_PB_58_H07_F2.raw	14	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 87	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 87	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_03_nUT2_PB_58_H07_F3.raw	20211210_L1_03_nUT2_PB_58_H07_F3.raw	15	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 88	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 88	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_04_nUT2_PB_58_H07_F4.raw	20211210_L1_04_nUT2_PB_58_H07_F4.raw	16	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 89	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 89	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_05_nUT2_PB_58_H07_F5.raw	20211210_L1_05_nUT2_PB_58_H07_F5.raw	17	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 90	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 90	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_06_nUT2_PB_58_H07_F6.raw	20211210_L1_06_nUT2_PB_58_H07_F6.raw	18	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 91	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 91	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_07_nUT2_PB_58_H07_F7.raw	20211210_L1_07_nUT2_PB_58_H07_F7.raw	19	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 92	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 92	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_08_nUT2_PB_58_H07_F8.raw	20211210_L1_08_nUT2_PB_58_H07_F8.raw	20	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 93	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 93	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_09_nUT2_PB_58_H07_F9.raw	20211210_L1_09_nUT2_PB_58_H07_F9.raw	21	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 94	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 94	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_10_nUT2_PB_58_H07_F10.raw	20211210_L1_10_nUT2_PB_58_H07_F10.raw	22	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 95	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 95	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_11_nUT2_PB_58_H07_F11.raw	20211210_L1_11_nUT2_PB_58_H07_F11.raw	23	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 96	Homo sapiens	stem	not available	not applicable	4W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 96	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211210_L1_12_nUT2_PB_58_H07_F12.raw	20211210_L1_12_nUT2_PB_58_H07_F12.raw	24	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	stem
PXD041268-Sample 97	Homo sapiens	root	not available	not applicable	3W	plant cell	Strong anion-exchange chromatography (SAX)	no enrichment	1	normal	not available	not available	not available	run 97	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	20211211_L1_01_nUT2_PB_58_H08_F1.raw	20211211_L1_01_nUT2_PB_58_H08_F1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484;NT=Orbitrap	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	10 ppm	0.02 Da	root
