source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
140521_V3_P5_JMO_Phosphoexp-9-4_240-9_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140521_V3_P5_JMO_Phosphoexp-9-4_240-9_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140521_V3_P5_JMO_Phosphoexp-9-4_240-9_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140521_V3_P5_JMO_Phosphoexp-9-4_240-9_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_2h_2	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	2	140716_V3_P5_Co-L_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_2h_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_2h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-H_2h_10	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	10	140716_V3_P5_Co-H_2h_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-H_2h_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-H_2h_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140728_V3_P5_TiO_F13_Co-H_2h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140728_V3_P5_TiO_F13_Co-H_2h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140728_V3_P5_TiO_F13_Co-H_2h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140728_V3_P5_TiO_F13_Co-H_2h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140823_V3_P5_RN_TiO_HCD-Inc_Co-L_2h_F4	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140823_V3_P5_RN_TiO_HCD-Inc_Co-L_2h_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	4	1	140823_V3_P5_RN_TiO_HCD-Inc_Co-L_2h_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140823_V3_P5_RN_TiO_HCD-Inc_Co-L_2h_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140728_V3_P5_TiO_F6_Co-H_2h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140728_V3_P5_TiO_F6_Co-H_2h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140728_V3_P5_TiO_F6_Co-H_2h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140728_V3_P5_TiO_F6_Co-H_2h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140602_V3_P5_TiO_F12_Co-L_15m_CID_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140602_V3_P5_TiO_F12_Co-L_15m_CID_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140602_V3_P5_TiO_F12_Co-L_15m_CID_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140602_V3_P5_TiO_F12_Co-L_15m_CID_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-H_2h_7	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	7	140716_V3_P5_Co-H_2h_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-H_2h_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-H_2h_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140728_V3_P5_TiO_F13_Co-H_15m_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140728_V3_P5_TiO_F13_Co-H_15m_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140728_V3_P5_TiO_F13_Co-H_15m_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140728_V3_P5_TiO_F13_Co-H_15m_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140606_V3_P5_FH_pYIP_Co-L_2h_CID	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140606_V3_P5_FH_pYIP_Co-L_2h_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140606_V3_P5_FH_pYIP_Co-L_2h_CID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140606_V3_P5_FH_pYIP_Co-L_2h_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140829_V3_P5_RN_TiO_HCD-Inc_Co-L_15min_F6	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140829_V3_P5_RN_TiO_HCD-Inc_Co-L_15min_F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	6	1	140829_V3_P5_RN_TiO_HCD-Inc_Co-L_15min_F6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140829_V3_P5_RN_TiO_HCD-Inc_Co-L_15min_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140728_V3_P5_TiO_F2_Co-H_2h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140728_V3_P5_TiO_F2_Co-H_2h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140728_V3_P5_TiO_F2_Co-H_2h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140728_V3_P5_TiO_F2_Co-H_2h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141004_V3_P5_RN_TiO_HCD_Co-H_2h_F5	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141004_V3_P5_RN_TiO_HCD_Co-H_2h_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	5	1	141004_V3_P5_RN_TiO_HCD_Co-H_2h_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141004_V3_P5_RN_TiO_HCD_Co-H_2h_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_15min_1	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140716_V3_P5_Co-L_15min_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_15min_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_15min_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140819_V3_P5_RN_TiO_F4_Co-L_2h2_HCD-Inc	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140819_V3_P5_RN_TiO_F4_Co-L_2h2_HCD-Inc	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140819_V3_P5_RN_TiO_F4_Co-L_2h2_HCD-Inc.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140819_V3_P5_RN_TiO_F4_Co-L_2h2_HCD-Inc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140516_V3_P5_JMO_Phosphoexp-9-4_15-3_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140516_V3_P5_JMO_Phosphoexp-9-4_15-3_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140516_V3_P5_JMO_Phosphoexp-9-4_15-3_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140516_V3_P5_JMO_Phosphoexp-9-4_15-3_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140728_V3_P5_TiO_F11_Co-H_2h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140728_V3_P5_TiO_F11_Co-H_2h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140728_V3_P5_TiO_F11_Co-H_2h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140728_V3_P5_TiO_F11_Co-H_2h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_15min_9	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	9	140716_V3_P5_Co-L_15min_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_15min_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_15min_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F11	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	11	1	140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140902_V3_P5_RN_pY_CID_Co-H_15min_8uL	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140902_V3_P5_RN_pY_CID_Co-H_15min_8uL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140902_V3_P5_RN_pY_CID_Co-H_15min_8uL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140902_V3_P5_RN_pY_CID_Co-H_15min_8uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141004_V3_P5_RN_TiO_HCD_Co-H_2h_F9	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141004_V3_P5_RN_TiO_HCD_Co-H_2h_F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	9	1	141004_V3_P5_RN_TiO_HCD_Co-H_2h_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141004_V3_P5_RN_TiO_HCD_Co-H_2h_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140820_V3_P5_RN_TiO_F11_Co-H_2h2_HCD-Inc	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140820_V3_P5_RN_TiO_F11_Co-H_2h2_HCD-Inc	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140820_V3_P5_RN_TiO_F11_Co-H_2h2_HCD-Inc.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140820_V3_P5_RN_TiO_F11_Co-H_2h2_HCD-Inc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140805_V3_P5_TiO_F6_Co-L_2h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140805_V3_P5_TiO_F6_Co-L_2h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140805_V3_P5_TiO_F6_Co-L_2h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140805_V3_P5_TiO_F6_Co-L_2h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140516_V3_P5_JMO_Phosphoexp-2-4_15-2_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140516_V3_P5_JMO_Phosphoexp-2-4_15-2_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140516_V3_P5_JMO_Phosphoexp-2-4_15-2_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140516_V3_P5_JMO_Phosphoexp-2-4_15-2_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_V3_P5_JMO_Phosphoexp-2-4_240-3_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140521_V3_P5_JMO_Phosphoexp-2-4_240-3_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140521_V3_P5_JMO_Phosphoexp-2-4_240-3_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140521_V3_P5_JMO_Phosphoexp-2-4_240-3_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141004_V3_P5_RN_TiO_HCD_Co-H_2h_F11	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141004_V3_P5_RN_TiO_HCD_Co-H_2h_F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	11	1	141004_V3_P5_RN_TiO_HCD_Co-H_2h_F11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141004_V3_P5_RN_TiO_HCD_Co-H_2h_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
