source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[age]
12week-S2-E5	Mus musculus	not available	normal	adult	12W	male	not available	S2-E5	organism part	1	run diaPASEF_60SPD_12week_S2-E5_1_5410	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-E5_1_5410.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-E6	Mus musculus	not available	normal	adult	12W	male	not available	S2-E6	organism part	1	run diaPASEF_60SPD_12week_S2-E6_1_5411	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-E6_1_5411.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-E7	Mus musculus	not available	normal	adult	12W	male	not available	S2-E7	organism part	1	run diaPASEF_60SPD_12week_S2-E7_1_5412	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-E7_1_5412.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-E8	Mus musculus	not available	normal	adult	12W	male	not available	S2-E8	organism part	1	run diaPASEF_60SPD_12week_S2-E8_1_5413	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-E8_1_5413.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-F1	Mus musculus	not available	normal	adult	12W	male	not available	S2-F1	organism part	1	run diaPASEF_60SPD_12week_S2-F1_1_5414	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-F1_1_5414.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-F2	Mus musculus	not available	normal	adult	12W	male	not available	S2-F2	organism part	1	run diaPASEF_60SPD_12week_S2-F2_1_5415	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-F2_1_5415.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-F3	Mus musculus	not available	normal	adult	12W	male	not available	S2-F3	organism part	1	run diaPASEF_60SPD_12week_S2-F3_1_5416	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-F3_1_5416.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-F4	Mus musculus	not available	normal	adult	12W	male	not available	S2-F4	organism part	1	run diaPASEF_60SPD_12week_S2-F4_1_5417	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-F4_1_5417.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-F5	Mus musculus	not available	normal	adult	12W	male	not available	S2-F5	organism part	1	run diaPASEF_60SPD_12week_S2-F5_1_5418	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-F5_1_5418.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-F6	Mus musculus	not available	normal	adult	12W	male	not available	S2-F6	organism part	1	run diaPASEF_60SPD_12week_S2-F6_1_5419	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-F6_1_5419.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-F7	Mus musculus	not available	normal	adult	12W	male	not available	S2-F7	organism part	1	run diaPASEF_60SPD_12week_S2-F7_1_5420	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-F7_1_5420.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-F8	Mus musculus	not available	normal	adult	12W	male	not available	S2-F8	organism part	1	run diaPASEF_60SPD_12week_S2-F8_1_5421	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-F8_1_5421.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-G1	Mus musculus	not available	normal	adult	12W	male	not available	S2-G1	organism part	1	run diaPASEF_60SPD_12week_S2-G1_1_5224	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-G1_1_5224.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-G2	Mus musculus	not available	normal	adult	12W	male	not available	S2-G2	organism part	1	run diaPASEF_60SPD_12week_S2-G2_1_5225	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-G2_1_5225.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-G3	Mus musculus	not available	normal	adult	12W	male	not available	S2-G3	organism part	1	run diaPASEF_60SPD_12week_S2-G3_1_5242	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-G3_1_5242.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-G4	Mus musculus	not available	normal	adult	12W	male	not available	S2-G4	organism part	1	run diaPASEF_60SPD_12week_S2-G4_1_5243	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-G4_1_5243.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-G5	Mus musculus	not available	normal	adult	12W	male	not available	S2-G5	organism part	1	run diaPASEF_60SPD_12week_S2-G5_1_5244	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-G5_1_5244.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-G6	Mus musculus	not available	normal	adult	12W	male	not available	S2-G6	organism part	1	run diaPASEF_60SPD_12week_S2-G6_1_5245	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-G6_1_5245.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-G7	Mus musculus	not available	normal	adult	12W	male	not available	S2-G7	organism part	1	run diaPASEF_60SPD_12week_S2-G7_1_5246	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-G7_1_5246.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-G8	Mus musculus	not available	normal	adult	12W	male	not available	S2-G8	organism part	1	run diaPASEF_60SPD_12week_S2-G8_1_5247	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-G8_1_5247.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-H1	Mus musculus	not available	normal	adult	12W	male	not available	S2-H1	organism part	1	run diaPASEF_60SPD_12week_S2-H1_1_5248	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-H1_1_5248.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-H2	Mus musculus	not available	normal	adult	12W	male	not available	S2-H2	organism part	1	run diaPASEF_60SPD_12week_S2-H2_1_5249	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-H2_1_5249.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-H3	Mus musculus	not available	normal	adult	12W	male	not available	S2-H3	organism part	1	run diaPASEF_60SPD_12week_S2-H3_1_5250	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-H3_1_5250.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-H4	Mus musculus	not available	normal	adult	12W	male	not available	S2-H4	organism part	1	run diaPASEF_60SPD_12week_S2-H4_1_5251	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-H4_1_5251.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-H5	Mus musculus	not available	normal	adult	12W	male	not available	S2-H5	organism part	1	run diaPASEF_60SPD_12week_S2-H5_1_5252	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-H5_1_5252.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-H6	Mus musculus	not available	normal	adult	12W	male	not available	S2-H6	organism part	1	run diaPASEF_60SPD_12week_S2-H6_1_5253	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-H6_1_5253.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-H7	Mus musculus	not available	normal	adult	12W	male	not available	S2-H7	organism part	1	run diaPASEF_60SPD_12week_S2-H7_1_5254	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-H7_1_5254.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
12week-S2-H8	Mus musculus	not available	normal	adult	12W	male	not available	S2-H8	organism part	1	run diaPASEF_60SPD_12week_S2-H8_1_5255	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_12week_S2-H8_1_5255.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	12W
84week-S1-A1	Mus musculus	not available	normal	adult	84W	male	not available	S1-A1	organism part	1	run diaPASEF_60SPD_84week_S1-A1_1_5325	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_84week_S1-A1_1_5325.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
84week-S1-A1	Mus musculus	not available	normal	adult	84W	male	not available	S1-A1	organism part	1	run diaPASEF_60SPD_84week_S1-A1_1_5422	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	diaPASEF_60SPD_84week_S1-A1_1_5422.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
84week-S1-A2	Mus musculus	not available	normal	adult	84W	male	not available	S1-A2	organism part	1	run diaPASEF_60SPD_84week_S1-A2_1_5327	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_84week_S1-A2_1_5327.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
84week-S1-A2	Mus musculus	not available	normal	adult	84W	male	not available	S1-A2	organism part	1	run diaPASEF_60SPD_84week_S1-A2_1_5423	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	diaPASEF_60SPD_84week_S1-A2_1_5423.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
84week-S1-A3	Mus musculus	not available	normal	adult	84W	male	not available	S1-A3	organism part	1	run diaPASEF_60SPD_84week_S1-A3_1_5328	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_84week_S1-A3_1_5328.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
84week-S1-A4	Mus musculus	not available	normal	adult	84W	male	not available	S1-A4	organism part	1	run diaPASEF_60SPD_84week_S1-A4_1_5329	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_84week_S1-A4_1_5329.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
84week-S1-A5	Mus musculus	not available	normal	adult	84W	male	not available	S1-A5	organism part	1	run diaPASEF_60SPD_84week_S1-A5_1_5330	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_84week_S1-A5_1_5330.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
84week-S1-A6	Mus musculus	not available	normal	adult	84W	male	not available	S1-A6	organism part	1	run diaPASEF_60SPD_84week_S1-A6_1_5331	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_84week_S1-A6_1_5331.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
84week-S1-A7	Mus musculus	not available	normal	adult	84W	male	not available	S1-A7	organism part	1	run diaPASEF_60SPD_84week_S1-A7_1_5332	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_84week_S1-A7_1_5332.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
84week-S1-A8	Mus musculus	not available	normal	adult	84W	male	not available	S1-A8	organism part	1	run diaPASEF_60SPD_84week_S1-A8_1_5333	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF fleX;AC=MS:1003124	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	diaPASEF_60SPD_84week_S1-A8_1_5333.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	84W
