source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[ms1 analyzer type]	comment[ms2 analyzer type]	comment[quantification]	factor value[time point]	factor value[cdk9 expression]	factor value[antibody]
H2_pBABE_IgG1	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 28	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_pBABE_IgG1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	CDK9 Over expression	Mouse IgG isotype control
H2_pBABE_IgG2	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 29	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_pBABE_IgG2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	CDK9 Over expression	Mouse IgG isotype control
H2_pBABE_IgG3_20230320104631	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 30	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_pBABE_IgG3_20230320104631.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	CDK9 Over expression	Mouse IgG isotype control
H2_D168N_CDK9_1_20230330215000	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 31	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_D168N_CDK9_1_20230330215000.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 1 (CDK9(D168N))	anti-CDK9 (F-6 Santa Cruz)
H2_D168N_CDK9_2_20230331073825	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 32	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_D168N_CDK9_2_20230331073825.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 1 (CDK9(D168N))	anti-CDK9 (F-6 Santa Cruz)
H2_D168N_CDK9_3	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 33	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_D168N_CDK9_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 1 (CDK9(D168N))	anti-CDK9 (F-6 Santa Cruz)
H2_D168N_IgG1	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 34	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_D168N_IgG1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 1 (CDK9(D168N))	Mouse IgG isotype control
H2_D168N_IgG2_20230331024415	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 35	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_D168N_IgG2_20230331024415.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 1 (CDK9(D168N))	Mouse IgG isotype control
H2_D168N_IgG3	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 36	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_D168N_IgG3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 1 (CDK9(D168N))	Mouse IgG isotype control
H2_T186A_CDK9_1	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 37	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_T186A_CDK9_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 2 (CDK9(T186A))	anti-CDK9 (F-6 Santa Cruz)
H2_T186A_CDK9_2_20230331123244	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 38	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_T186A_CDK9_2_20230331123244.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 2 (CDK9(T186A))	anti-CDK9 (F-6 Santa Cruz)
H2_T186A_CDK9_3_20230331222125	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 39	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_T186A_CDK9_3_20230331222125.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 2 (CDK9(T186A))	anti-CDK9 (F-6 Santa Cruz)
H2_T186A_IgG1_20230331172709	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	1	run 40	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_T186A_IgG1_20230331172709.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 2 (CDK9(T186A))	Mouse IgG isotype control
H2_T186A_IgG2	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	2	run 41	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_T186A_IgG2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 2 (CDK9(T186A))	Mouse IgG isotype control
H2_T186A_IgG3	Homo sapiens	cell culture	Erythroblast	normal	HUDEP-2	not available	not available	3	run 42	NT=proteomic profilling by mass spectrometer;AC=EFO:0002766	Data-dependent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Acetylation;AC=Unimod:1;MT=Variable; PP=Protein N-term	NT=phosphorylated residue;AC=MOD:00696;MT=Variable;PP=Anywhere;TA=ST	not applicable	1	1	H2_T186A_IgG3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=orbitrap;AC=MS:1000484	NT=orbitrap;AC=MS:1000484	NT=label free quantification;AC=EFO:0030054	6 day	Mutant 2 (CDK9(T186A))	Mouse IgG isotype control
