source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PXD045910-Sample-31	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_B-CS2_4uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_B-CS2_4uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-32	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_B-CS4_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_B-CS4_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-33	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_B-HS1_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_B-HS1_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-34	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_B-HS2_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_B-HS2_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-35	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_C-HS2_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_C-HS2_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-36	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_C-HS4_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_C-HS4_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-37	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_CB1_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_CB1_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-38	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_CF1_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_CF1_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-39	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_CF2_5uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_CF2_5uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD045910-Sample-40	Rattus norvegicus	not available	not available	1	PLK074_EXPL_220216_FGU13_CF4_3uL_DDA_150M_120G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	1	PLK074_EXPL_220216_FGU13_CF4_3uL_DDA_150M_120G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
