source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
SY_PtpB_H2O2_CID_Bio1_4bc	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio1_4bc	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio1_4bc.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio1_4bc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
150320_V2_PM3_CH_SY_SILAC_Bio1_WTKo1_03	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	3	150320_V2_PM3_CH_SY_SILAC_Bio1_WTKo1_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150320_V2_PM3_CH_SY_SILAC_Bio1_WTKo1_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150320_V2_PM3_CH_SY_SILAC_Bio1_WTKo1_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio1_13bc	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio1_13bc	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio1_13bc.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio1_13bc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_HCD_Bio3_7b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_HCD_Bio3_7b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_HCD_Bio3_7b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_HCD_Bio3_7b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_Bio4_collected_07	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	7	SY_PtpB_SILAC_TiO2_Bio4_collected_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_Bio4_collected_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_Bio4_collected_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
150404_V2_PM3_CH_SY_SILAC_Bio3_ptpBKo_06	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	6	150404_V2_PM3_CH_SY_SILAC_Bio3_ptpBKo_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150404_V2_PM3_CH_SY_SILAC_Bio3_ptpBKo_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150404_V2_PM3_CH_SY_SILAC_Bio3_ptpBKo_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
150320_V2_PM3_CH_SY_SILAC_Bio1_WTKo1_04	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	4	150320_V2_PM3_CH_SY_SILAC_Bio1_WTKo1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	150320_V2_PM3_CH_SY_SILAC_Bio1_WTKo1_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/150320_V2_PM3_CH_SY_SILAC_Bio1_WTKo1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_CID_Bio2_6c	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_SILAC_TiO2_CID_Bio2_6c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_CID_Bio2_6c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_CID_Bio2_6c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio3_collected_17	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	17	SY_PtpB_H2O2_CID_Bio3_collected_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio3_collected_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio3_collected_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_CID_Bio3_12c	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_SILAC_TiO2_CID_Bio3_12c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_CID_Bio3_12c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_CID_Bio3_12c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio2_10b	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio2_10b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio2_10b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio2_10b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_WT_SILAC_TiO2_Bio1_collected_06	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	6	SY_WT_SILAC_TiO2_Bio1_collected_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_WT_SILAC_TiO2_Bio1_collected_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_WT_SILAC_TiO2_Bio1_collected_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_WT_SILAC_TiO2_Bio1_collected_07	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	7	SY_WT_SILAC_TiO2_Bio1_collected_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_WT_SILAC_TiO2_Bio1_collected_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_WT_SILAC_TiO2_Bio1_collected_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_WT_SILAC_TiO2_Bio1_collected_22	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	22	SY_WT_SILAC_TiO2_Bio1_collected_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_WT_SILAC_TiO2_Bio1_collected_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_WT_SILAC_TiO2_Bio1_collected_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_HCD_Bio3_6a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_HCD_Bio3_6a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_HCD_Bio3_6a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_HCD_Bio3_6a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_HCD_Bio2_7a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_SILAC_TiO2_HCD_Bio2_7a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_HCD_Bio2_7a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_HCD_Bio2_7a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_WT_SILAC_TiO2_Bio2_collected_08	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	8	SY_WT_SILAC_TiO2_Bio2_collected_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_WT_SILAC_TiO2_Bio2_collected_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_WT_SILAC_TiO2_Bio2_collected_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_SILAC_TiO2_CID_Bio2_2025ab	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_SILAC_TiO2_CID_Bio2_2025ab	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_SILAC_TiO2_CID_Bio2_2025ab.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_SILAC_TiO2_CID_Bio2_2025ab.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SY_PtpB_H2O2_CID_Bio5_1112c	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	SY_PtpB_H2O2_CID_Bio5_1112c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	2 Da	2 Da	sds page	1	1	SY_PtpB_H2O2_CID_Bio5_1112c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD009874/SY_PtpB_H2O2_CID_Bio5_1112c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
