source name	characteristics[organism]	characteristics[strain or breed]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD022557-Sample-54	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I13.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-55	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I14.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-56	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I15.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-57	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I16.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-58	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I17.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-59	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I18.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-60	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I2.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-61	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I3.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-62	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I4.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-63	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I5.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-64	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I6.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-65	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I7.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-66	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I8.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD022557-Sample-67	Mus musculus	C57BL/6	heart	not available	adult	18M-20M	1	LEDO160928_MS_I9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=5800 TOF/TOF;AC=MS:1001482	NT=Trypsin;AC=MS:1001251	1	1	LEDO160928_MS_I9.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
