source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ORBI-RSLC005639	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005639	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005639.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005639.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007612	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007612	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007612.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007612.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007613	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007613	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007613.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007613.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005664	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005664	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005664.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005664.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005643	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005643	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005643.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005643.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005646	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005646	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005646.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005646.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005635	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005635	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005635.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005635.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005629	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005629	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005629.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005629.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007637	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007637	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007637.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007637.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007614	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007614	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007614.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007614.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007607	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007607	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007607.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007607.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005666	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005666	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005666.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005666.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005631	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005631	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005631.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005631.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007645	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007645	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007645.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007645.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007594	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007594	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007594.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007594.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007671	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007671	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007671.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007671.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007644	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007644	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007644.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007644.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007670	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007670	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007670.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007670.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005690	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005690	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005690.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005690.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005625	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005625	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005625.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005625.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005673	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005673	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005673.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005673.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007593	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007593	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007593.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007593.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007648	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007648	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007648.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007648.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007582_120814153855	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007582_120814153855	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007582_120814153855.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007582_120814153855.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007609	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007609	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007609.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007609.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005642	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005642	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005642.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005642.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005678	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005678	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005678.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005678.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005694	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005694	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005694.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005694.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007608	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007608	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007608.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007608.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005630	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005630	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005630.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005630.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
