source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20121123_JR_FN14	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_FN14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_FN14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_FN14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf15	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121018_JR_TF15	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121018_JR_TF15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121018_JR_TF15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121018_JR_TF15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF4	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_TF7	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_TF8	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_TF15	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf9	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121030_JR_Tf4	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121030_JR_Tf4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121030_JR_Tf4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121030_JR_Tf4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_FN15	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_FN15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_FN15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_FN15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf7	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20120809_JR_Tf27_3h	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20120809_JR_Tf27_3h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20120809_JR_Tf27_3h.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20120809_JR_Tf27_3h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF10	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_FN1	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_FN1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_FN1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_FN1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_FN8	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_FN8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_FN8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_FN8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121018_JR_TF14	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121018_JR_TF14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121018_JR_TF14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121018_JR_TF14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_TF12	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_TF12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_TF12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_TF12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_FN15	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_FN15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_FN15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_FN15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_TF11	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_TF11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_TF11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_TF11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_FN12	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_FN12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_FN12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_FN12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20120809_JR_Tf1_3h	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20120809_JR_Tf1_3h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20120809_JR_Tf1_3h.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20120809_JR_Tf1_3h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf11	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121018_JR_FN11	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121018_JR_FN11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121018_JR_FN11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121018_JR_FN11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_FN2	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_FN2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_FN2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_FN2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121012_JR_FN13	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121012_JR_FN13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121012_JR_FN13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121012_JR_FN13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121123_JR_FN7	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121123_JR_FN7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121123_JR_FN7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121123_JR_FN7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf10	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_FN10	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_FN10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_FN10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_FN10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_FN7	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_FN7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_FN7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_FN7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20120518_JR_TF_3h	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20120518_JR_TF_3h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20120518_JR_TF_3h.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20120518_JR_TF_3h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf1	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_Tf3	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_Tf3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_Tf3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_Tf3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20120810_JR_FN1_3h	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20120810_JR_FN1_3h	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20120810_JR_FN1_3h.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20120810_JR_FN1_3h.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
20121029_JR_FN2	homo sapiens	heart	not applicable	not available	enrichment of phosphorylated protein	1	20121029_JR_FN2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	1	1	20121029_JR_FN2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001578/20121029_JR_FN2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
