source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[organism part]
130125_DDX6	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130125_DDX6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130125_DDX6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130125_DDX6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130125_DDX6_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130125_DDX6_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130125_DDX6_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130125_DDX6_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130122_293_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130122_293_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130122_293_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130122_293_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D16	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D7	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D19	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130709_293	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130709_293	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130709_293.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130709_293.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D20	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130222_293	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130222_293	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130222_293.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130222_293.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130709_DDX6_benzonase	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130709_DDX6_benzonase	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130709_DDX6_benzonase.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130709_DDX6_benzonase.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D21	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D10	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D3	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130210_DDX6	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130210_DDX6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130210_DDX6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130210_DDX6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D18	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D25	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130210_293	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130210_293	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130210_293.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130210_293.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D13	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D2	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
130311_D6	homo sapiens	Cell culture	HEK293	not available	antibody enrichment	HEK293	CVCL_0045	HEK293	1	not available	not available	130311_D6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130311_D6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002070/130311_D6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=human;VV=v1.1.0	Cell culture
