source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[growth condition]	factor value[strain or breed]
potato_sample_26	Solanum tuberosum	leaf	not applicable	1	not available	not available	Carolus	field-grown, Umeå (northern Sweden)	ns_26	proteomic profiling by mass spectrometry	1	sample_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Carolus
potato_sample_27	Solanum tuberosum	leaf	not applicable	2	not available	not available	910106	field-grown, Umeå (northern Sweden)	ns_27	proteomic profiling by mass spectrometry	1	sample_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	910106
potato_sample_27	Solanum tuberosum	leaf	not applicable	2	not available	not available	910106	field-grown, Umeå (northern Sweden)	ns_27_2	proteomic profiling by mass spectrometry	2	rerun_sample_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	910106
potato_sample_28	Solanum tuberosum	leaf	not applicable	3	not available	not available	910106	field-grown, Umeå (northern Sweden)	ns_28	proteomic profiling by mass spectrometry	1	sample_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	910106
potato_sample_29	Solanum tuberosum	leaf	not applicable	1	not available	not available	908510	field-grown, Umeå (northern Sweden)	ns_29	proteomic profiling by mass spectrometry	1	sample_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	908510
potato_sample_30	Solanum tuberosum	leaf	not applicable	2	not available	not available	Rocket	field-grown, Umeå (northern Sweden)	ns_30	proteomic profiling by mass spectrometry	1	sample_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Rocket
potato_sample_30	Solanum tuberosum	leaf	not applicable	2	not available	not available	Rocket	field-grown, Umeå (northern Sweden)	ns_30_2	proteomic profiling by mass spectrometry	2	rerun_sample_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Rocket
potato_sample_31	Solanum tuberosum	leaf	not applicable	2	not available	not available	908510	field-grown, Umeå (northern Sweden)	ns_31	proteomic profiling by mass spectrometry	1	sample_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	908510
potato_sample_31	Solanum tuberosum	leaf	not applicable	2	not available	not available	908510	field-grown, Umeå (northern Sweden)	ns_31_2	proteomic profiling by mass spectrometry	2	rerun_sample_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	908510
potato_sample_32	Solanum tuberosum	leaf	not applicable	4	not available	not available	KingEdward	field-grown, Umeå (northern Sweden)	ns_32	proteomic profiling by mass spectrometry	1	sample_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	KingEdward
potato_sample_33	Solanum tuberosum	leaf	not applicable	1	not available	not available	Asterix	field-grown, Umeå (northern Sweden)	ns_33	proteomic profiling by mass spectrometry	1	sample_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Asterix
potato_sample_34	Solanum tuberosum	leaf	not applicable	2	not available	not available	Mandel	field-grown, Umeå (northern Sweden)	ns_34	proteomic profiling by mass spectrometry	1	sample_34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Mandel
potato_sample_35	Solanum tuberosum	leaf	not applicable	3	not available	not available	Rocket	field-grown, Umeå (northern Sweden)	ns_35	proteomic profiling by mass spectrometry	1	sample_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Rocket
potato_sample_35	Solanum tuberosum	leaf	not applicable	3	not available	not available	Rocket	field-grown, Umeå (northern Sweden)	ns_35_2	proteomic profiling by mass spectrometry	2	rerun_sample_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Rocket
potato_sample_36	Solanum tuberosum	leaf	not applicable	1	not available	not available	Artemis	field-grown, Umeå (northern Sweden)	ns_36	proteomic profiling by mass spectrometry	1	sample_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Artemis
potato_sample_37	Solanum tuberosum	leaf	not applicable	2	not available	not available	Artemis	field-grown, Umeå (northern Sweden)	ns_37	proteomic profiling by mass spectrometry	1	sample_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Artemis
potato_sample_37	Solanum tuberosum	leaf	not applicable	2	not available	not available	Artemis	field-grown, Umeå (northern Sweden)	ns_37_2	proteomic profiling by mass spectrometry	2	sample_rerun_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Artemis
potato_sample_38	Solanum tuberosum	leaf	not applicable	4	not available	not available	Bintje	field-grown, Umeå (northern Sweden)	ns_38	proteomic profiling by mass spectrometry	1	sample_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Bintje
potato_sample_39	Solanum tuberosum	leaf	not applicable	3	not available	not available	Artemis	field-grown, Umeå (northern Sweden)	ns_39	proteomic profiling by mass spectrometry	1	sample_39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Artemis
potato_sample_40	Solanum tuberosum	leaf	not applicable	2	not available	not available	Solist	field-grown, Umeå (northern Sweden)	ns_40	proteomic profiling by mass spectrometry	1	sample_40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Solist
potato_sample_41	Solanum tuberosum	leaf	not applicable	4	not available	not available	Artemis	field-grown, Umeå (northern Sweden)	ns_41	proteomic profiling by mass spectrometry	1	sample_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Artemis
potato_sample_42	Solanum tuberosum	leaf	not applicable	3	not available	not available	Connect	field-grown, Umeå (northern Sweden)	ns_42	proteomic profiling by mass spectrometry	1	sample_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Connect
potato_sample_43	Solanum tuberosum	leaf	not applicable	2	not available	not available	Asterix	field-grown, Umeå (northern Sweden)	ns_43	proteomic profiling by mass spectrometry	1	sample_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Asterix
potato_sample_44	Solanum tuberosum	leaf	not applicable	3	not available	not available	Fontane	field-grown, Umeå (northern Sweden)	ns_44	proteomic profiling by mass spectrometry	1	sample_44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Fontane
potato_sample_45	Solanum tuberosum	leaf	not applicable	2	not available	not available	Carolus	field-grown, Umeå (northern Sweden)	ns_45	proteomic profiling by mass spectrometry	1	sample_45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Carolus
potato_sample_46	Solanum tuberosum	leaf	not applicable	4	not available	not available	Fontane	field-grown, Umeå (northern Sweden)	ns_46	proteomic profiling by mass spectrometry	1	sample_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Fontane
potato_sample_46	Solanum tuberosum	leaf	not applicable	4	not available	not available	Fontane	field-grown, Umeå (northern Sweden)	ns_46_2	proteomic profiling by mass spectrometry	2	rerun_sample_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Fontane
potato_sample_47	Solanum tuberosum	leaf	not applicable	3	not available	not available	Mandel	field-grown, Umeå (northern Sweden)	ns_47	proteomic profiling by mass spectrometry	1	sample_47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Mandel
potato_sample_48	Solanum tuberosum	leaf	not applicable	4	not available	not available	Connect	field-grown, Umeå (northern Sweden)	ns_48	proteomic profiling by mass spectrometry	1	sample_48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Connect
potato_sample_49	Solanum tuberosum	leaf	not applicable	4	not available	not available	Rocket	field-grown, Umeå (northern Sweden)	ns_49	proteomic profiling by mass spectrometry	1	sample_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Rocket
potato_sample_49	Solanum tuberosum	leaf	not applicable	4	not available	not available	Rocket	field-grown, Umeå (northern Sweden)	ns_49_2	proteomic profiling by mass spectrometry	2	sample_rerun_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Rocket
potato_sample_50	Solanum tuberosum	leaf	not applicable	3	not available	not available	Desiree	field-grown, Umeå (northern Sweden)	ns_50	proteomic profiling by mass spectrometry	1	sample_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	label free sample	1	10 ppm	0.4 Da	NT=dithiothreitol (DTT);AC=PRIDE:0000608	NT=iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	field-grown, Umeå (northern Sweden)	Desiree
