source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
Sample 54	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	54	run 54	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_048.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 55	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	55	run 55	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_050.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 56	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	56	run 56	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_052.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 57	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	57	run 57	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_054.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 58	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	58	run 58	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_056.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD normal
Sample 59	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	59	run 59	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_058.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 60	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	60	run 60	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_062.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 61	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	61	run 61	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_064_20230116153743.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 62	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	62	run 62	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_066.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
Sample 63	Mus musculus	liver	not applicable	TANGO2 dysfunction	not applicable	not available	male	63	run 63	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=HCD; AC = PRIDE:0000590	1	1	20230113_T3_068.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	HFD TANGO2
