source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
04142014_s6_r1_075	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s6_r1_075	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s6_r1_075.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s6_r1_075.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s2_r3_057	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s2_r3_057	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s2_r3_057.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s2_r3_057.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s7_r1_080	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s7_r1_080	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s7_r1_080.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s7_r1_080.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s10_r1_095	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s10_r1_095	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s10_r1_095.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s10_r1_095.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s7_r3_082	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s7_r3_082	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s7_r3_082.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s7_r3_082.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s14_r1_115	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s14_r1_115	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s14_r1_115.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s14_r1_115.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_M_NT_3	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	3	140521_EOC_M_NT_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_M_NT_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_M_NT_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_MCis_T2_3	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	3	140521_EOC_MCis_T2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_MCis_T2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_MCis_T2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s3_r3_062	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s3_r3_062	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s3_r3_062.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s3_r3_062.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s11_r2_101	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s11_r2_101	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s11_r2_101.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s11_r2_101.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s11_r1_100	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s11_r1_100	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s11_r1_100.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s11_r1_100.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s14_r2_116	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s14_r2_116	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s14_r2_116.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s14_r2_116.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s14_r3_117	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s14_r3_117	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s14_r3_117.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s14_r3_117.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s4_r2_066	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s4_r2_066	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s4_r2_066.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s4_r2_066.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s9_r3_092	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s9_r3_092	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s9_r3_092.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s9_r3_092.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s4_r3_067	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s4_r3_067	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s4_r3_067.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s4_r3_067.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s1_r1_050	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s1_r1_050	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s1_r1_050.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s1_r1_050.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_MCis_T_C	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	140521_EOC_MCis_T_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_MCis_T_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_MCis_T_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s9_r1_090	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s9_r1_090	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s9_r1_090.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s9_r1_090.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_M_NT_5	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	5	140521_EOC_M_NT_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_M_NT_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_M_NT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s1_r2_051	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s1_r2_051	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s1_r2_051.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s1_r2_051.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140521_EOC_MCis_NT_5	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	5	140521_EOC_MCis_NT_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	140521_EOC_MCis_NT_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/140521_EOC_MCis_NT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
04142014_s5_r2_071	homo sapiens	Epithelial cell	not applicable	Ovarian cancer	enrichment of phosphorylated protein	1	04142014_s5_r2_071	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.6 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	04142014_s5_r2_071.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002394/04142014_s5_r2_071.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
